,UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
51,-91,-100,-68,-86,-68,-94,-59,-100,-87,-100,,-100,-100,-100,-86,2
52,-91,-100,-70,-93,-74,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
53,-89,-100,-76,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
54,-94,-100,-70,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
55,-93,-100,-68,-86,-71,-93,-59,-100,-93,-100,,-100,-100,-100,-84,2
56,-90,-100,-69,-86,-63,-94,-59,-100,-87,-100,,-100,-100,-100,-86,2
57,-93,-100,-71,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
58,-89,-100,-72,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
59,-92,-100,-70,-86,-70,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
60,-90,-100,-71,-86,-67,-90,-59,-100,-87,-100,,-100,-100,-100,-86,2
61,-93,-100,-70,-86,-55,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
62,-89,-100,-70,-86,-53,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
63,-92,-100,-71,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
64,-90,-100,-67,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
65,-88,-100,-67,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
66,-89,-100,-71,-86,-64,-93,-59,-100,-89,-100,,-100,-100,-100,-86,2
67,-91,-100,-72,-86,-62,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
68,-93,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
69,-92,-100,-71,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
70,-93,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
71,-93,-100,-70,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
72,-91,-100,-74,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
73,-93,-100,-75,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
74,-94,-100,-67,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
75,-91,-100,-70,-86,-67,-93,-59,-100,-88,-100,,-100,-100,-100,-86,2
76,-89,-100,-70,-86,-61,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
77,-90,-100,-74,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
78,-93,-100,-71,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
79,-89,-100,-73,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
80,-90,-100,-66,-86,-62,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
81,-93,-100,-70,-89,-66,-86,-59,-100,-87,-100,,-100,-100,-100,-86,2
82,-91,-100,-72,-86,-76,-93,-59,-100,-93,-100,,-100,-100,-100,-86,2
83,-92,-100,-69,-86,-66,-90,-59,-100,-87,-100,,-100,-100,-100,-86,2
84,-92,-100,-65,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
85,-89,-100,-67,-86,-65,-93,-59,-100,-86,-100,,-100,-100,-100,-88,2
86,-93,-100,-70,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
87,-93,-100,-82,-86,-66,-93,-59,-100,-89,-100,,-100,-100,-100,-86,2
88,-93,-100,-78,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
89,-88,-100,-77,-86,-65,-89,-59,-100,-87,-100,,-100,-100,-100,-86,2
90,-88,-100,-79,-86,-63,-93,-59,-100,-85,-100,,-100,-100,-100,-86,2
91,-88,-100,-72,-86,-64,-87,-59,-100,-87,-100,,-100,-100,-100,-86,2
92,-92,-100,-65,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
93,-93,-100,-66,-86,-68,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
94,-89,-100,-72,-86,-73,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
95,-90,-100,-81,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-90,2
96,-93,-100,-80,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
97,-90,-100,-68,-86,-61,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
98,-93,-100,-70,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
99,-93,-100,-73,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
100,-93,-100,-74,-86,-65,-88,-59,-100,-87,-100,,-100,-100,-100,-86,2
101,-94,-100,-70,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
102,-91,-100,-70,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
103,-93,-100,-70,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
104,-93,-100,-68,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
105,-93,-100,-70,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
106,-89,-100,-71,-86,-60,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
107,-86,-100,-72,-86,-69,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
108,-93,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
109,-93,-100,-70,-86,-67,-93,-59,-100,-96,-100,,-100,-100,-100,-86,2
110,-88,-100,-70,-86,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
111,-90,-100,-73,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
112,-88,-100,-70,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
113,-93,-100,-72,-86,-71,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
114,-91,-100,-72,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
115,-91,-100,-73,-86,-72,-93,-59,-100,-87,-100,,-100,-100,-100,-91,2
116,-94,-100,-66,-86,-64,-93,-59,-100,-94,-100,,-100,-100,-100,-86,2
117,-93,-100,-70,-86,-64,-93,-59,-100,-95,-100,,-100,-100,-100,-86,2
118,-90,-100,-70,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-87,2
119,-90,-100,-68,-86,-64,-93,-59,-100,-89,-100,,-100,-100,-100,-88,2
120,-87,-100,-72,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
121,-93,-100,-70,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
122,-92,-100,-72,-90,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
123,-90,-100,-70,-86,-62,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
124,-93,-100,-78,-89,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
125,-88,-100,-70,-86,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
126,-93,-100,-72,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
127,-90,-100,-69,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-83,2
128,-93,-100,-70,-86,-62,-93,-59,-100,-87,-100,,-100,-100,-100,-89,2
129,-90,-100,-71,-86,-69,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
130,-93,-100,-70,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-88,2
131,-89,-100,-71,-86,-70,-93,-59,-100,-89,-100,,-100,-100,-100,-83,2
132,-93,-100,-79,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
133,-89,-100,-70,-86,-64,-86,-59,-100,-82,-100,,-100,-100,-100,-86,2
134,-90,-100,-74,-86,-66,-90,-59,-100,-91,-100,,-100,-100,-100,-86,2
135,-86,-100,-73,-87,-63,-86,-59,-100,-85,-100,,-100,-100,-100,-86,2
136,-89,-100,-73,-92,-64,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
137,-93,-100,-70,-86,-63,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
138,-87,-100,-69,-86,-63,-86,-59,-100,-84,-100,,-100,-100,-100,-86,2
139,-93,-100,-70,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
140,-91,-100,-71,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
141,-93,-100,-70,-89,-66,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
142,-93,-100,-69,-86,-65,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
143,-93,-100,-71,-86,-67,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
144,-93,-100,-65,-86,-61,-93,-59,-100,-87,-100,,-100,-100,-100,-86,2
