Chamidi1,NipunaM6,IsuruAp6,UoM_Wireless11,UNIC-wifi11,id
-77,-55,-58,-87,-84,2
-77,-63,-59,-89,-85,1
-80,-59,-55,-91,-89,2
-73,-56,-55,-87,-85,2
-73,-64,-55,-89,-85,0
-83,-55,-58,-89,-85,1
-75,-58,-59,-91,-92,2
-83,-57,-59,-90,-85,1
-72,-64,-55,-90,-87,0
-75,-58,-59,-91,-90,2
-68,-64,-51,-89,-87,0
-83,-58,-52,-84,-89,2
-77,-55,-65,-91,-89,2
-77,-63,-58,-91,-85,1
-77,-62,-53,-89,-89,0
-70,-64,-52,-90,-87,0
-74,-64,-52,-88,-86,0
-77,-63,-60,-90,-85,1
-74,-58,-57,-87,-89,2
-77,-61,-54,-89,-88,0
-77,-56,-52,-93,-87,2
-75,-64,-56,-92,-89,0
-72,-64,-52,-96,-89,0
-74,-64,-52,-90,-87,0
-75,-56,-60,-87,-82,2
-76,-58,-56,-92,-89,2
-69,-64,-53,-90,-86,0
-75,-53,-54,-88,-89,2
-74,-56,-52,-91,-89,2
-74,-58,-58,-93,-89,2
-75,-63,-57,-89,-87,1
-71,-64,-53,-90,-89,0
-79,-62,-52,-89,-85,0
-73,-64,-53,-90,-87,0
-72,-64,-55,-90,-88,0
-74,-63,-54,-89,-85,1
-77,-62,-53,-89,-89,0
-73,-64,-52,-90,-87,0
-75,-64,-56,-89,-87,1
-80,-68,-53,-92,-87,2
-80,-54,-66,-91,-85,1
-86,-63,-57,-89,-84,0
-75,-63,-58,-89,-85,1
-73,-55,-57,-91,-89,2
-74,-63,-53,-89,-85,1
-72,-64,-56,-92,-87,0
-77,-57,-54,-93,-88,2
-74,-55,-57,-91,-88,2
-76,-63,-53,-89,-85,0
-77,-61,-55,-90,-85,1
-77,-55,-55,-91,-92,2
-81,-63,-61,-91,-85,1
-84,-65,-55,-91,-84,0
-71,-64,-54,-90,-91,0
-74,-58,-57,-93,-89,2
-100,-58,-53,-91,-89,2
-75,-63,-56,-91,-89,0
-74,-63,-56,-87,-84,0
-76,-63,-56,-92,-87,1
-75,-58,-57,-88,-89,2
-84,-64,-55,-91,-84,0
-73,-58,-52,-90,-89,2
-73,-63,-57,-89,-85,1
-85,-63,-62,-89,-85,1
-75,-56,-55,-91,-89,2
-70,-62,-52,-92,-87,0
-77,-63,-53,-90,-85,0
-79,-54,-56,-95,-85,1
-76,-65,-59,-91,-89,0
-70,-64,-53,-90,-87,0
-73,-64,-53,-94,-84,0
-75,-65,-56,-94,-84,0
-82,-58,-52,-91,-87,2
-78,-54,-60,-89,-85,1
-71,-64,-54,-90,-87,0
-75,-62,-57,-91,-85,1
-82,-58,-52,-87,-89,2
-77,-62,-56,-90,-84,0
-77,-63,-49,-89,-89,0
-72,-64,-54,-90,-87,0
-73,-56,-65,-95,-89,2
-72,-64,-53,-90,-87,0
-74,-58,-55,-91,-89,2
-75,-58,-53,-89,-89,2
-75,-63,-54,-90,-86,1
-86,-55,-60,-91,-85,1
-76,-58,-51,-88,-83,2
-84,-50,-59,-89,-85,1
-82,-63,-56,-87,-85,1
-70,-64,-52,-89,-88,0
-77,-63,-53,-89,-85,0
-80,-58,-48,-93,-88,2
-77,-58,-56,-95,-89,2
-88,-57,-57,-91,-89,2
-79,-63,-57,-89,-85,1
-76,-63,-57,-92,-84,0
-75,-63,-57,-88,-85,1
-75,-57,-56,-94,-88,2
-77,-63,-58,-91,-85,1
-85,-58,-49,-91,-89,2
-70,-64,-52,-90,-87,0
-76,-63,-57,-89,-85,1
-77,-55,-59,-91,-88,2
-73,-64,-52,-93,-88,0
-72,-64,-56,-90,-87,0
-82,-63,-56,-89,-85,1
-69,-64,-50,-90,-87,0
-74,-65,-59,-91,-84,0
-72,-64,-52,-90,-87,0
-73,-58,-57,-91,-89,2
-70,-64,-56,-91,-85,1
-71,-62,-52,-90,-88,0
-77,-64,-55,-89,-91,0
-77,-58,-54,-91,-89,2
-71,-64,-52,-90,-91,0
-72,-64,-55,-90,-85,0
-76,-57,-54,-94,-88,2
-70,-64,-53,-92,-88,0
-74,-64,-52,-91,-89,0
-77,-65,-55,-89,-82,0
-79,-54,-64,-90,-86,1
-77,-62,-55,-89,-90,0
-72,-66,-55,-89,-85,1
-80,-54,-58,-88,-87,1
-77,-62,-54,-91,-84,0
-75,-64,-55,-89,-85,1
-81,-55,-59,-89,-85,1
-70,-64,-53,-90,-87,0
-72,-58,-55,-94,-89,2
-77,-63,-61,-89,-85,1
-79,-57,-60,-95,-89,1
-85,-58,-48,-91,-88,2
-81,-58,-53,-94,-89,2
-70,-64,-52,-90,-86,0
-78,-63,-56,-91,-85,1
-83,-63,-55,-89,-85,1
-77,-64,-53,-89,-86,0
-73,-64,-54,-90,-89,0
-78,-63,-56,-88,-85,1
-71,-58,-51,-97,-89,2
-78,-57,-56,-91,-89,2
-75,-63,-53,-89,-85,1
-83,-65,-56,-86,-84,0
-85,-64,-51,-88,-85,0
-84,-59,-58,-89,-85,1
-77,-62,-48,-94,-90,0
-69,-64,-51,-89,-85,0
-75,-63,-57,-89,-85,1
-71,-58,-53,-91,-89,2
-76,-58,-55,-91,-86,2
-72,-64,-56,-90,-87,0
-79,-58,-51,-91,-85,2
-70,-64,-52,-90,-87,0
-78,-63,-58,-89,-85,1
-70,-64,-54,-90,-87,0
-72,-64,-52,-90,-87,0
-75,-64,-53,-86,-87,0
-74,-58,-53,-88,-85,2
-76,-64,-55,-88,-84,0
-78,-63,-55,-89,-85,1
-75,-52,-60,-89,-84,1
-81,-63,-64,-91,-85,1
-72,-46,-53,-88,-88,2
-76,-59,-59,-91,-89,2
-69,-57,-57,-90,-89,2
-75,-65,-55,-91,-84,0
-69,-64,-51,-90,-85,0
-76,-58,-47,-92,-85,2
-71,-56,-52,-89,-89,2
-84,-58,-53,-92,-89,2
-100,-63,-58,-90,-91,2
-70,-64,-55,-89,-85,1
-70,-64,-51,-91,-87,0
-74,-57,-53,-88,-84,2
-78,-58,-54,-89,-86,2
-76,-65,-58,-91,-84,0
-77,-68,-62,-90,-87,1
-81,-55,-58,-89,-85,1
-75,-65,-56,-89,-85,1
-80,-58,-53,-92,-89,2
-87,-63,-56,-89,-85,1
-82,-63,-59,-87,-85,1
-71,-55,-55,-88,-84,2
-75,-64,-56,-91,-84,0
-84,-54,-63,-90,-86,1
-78,-54,-59,-89,-85,1
-71,-64,-52,-95,-88,0
-72,-60,-54,-90,-89,2
-77,-54,-61,-89,-85,1
-72,-64,-55,-89,-86,0
-78,-63,-57,-89,-85,1
-100,-62,-56,-92,-85,1
-78,-57,-60,-89,-85,1
-80,-58,-55,-91,-89,2
-75,-64,-55,-88,-85,1
-80,-55,-58,-89,-85,1
-76,-60,-55,-95,-85,0
-84,-54,-61,-90,-85,1
-74,-63,-55,-93,-87,0
-80,-54,-59,-89,-85,1
-74,-64,-54,-90,-84,0
-78,-60,-54,-89,-87,1
-80,-63,-57,-89,-85,1
-77,-55,-60,-93,-85,1
-82,-63,-57,-89,-85,1
-74,-62,-55,-91,-89,0
-78,-56,-54,-91,-88,2
-83,-57,-61,-89,-85,1
-71,-63,-57,-89,-85,1
-81,-54,-59,-86,-86,1
-77,-62,-55,-90,-86,0
-73,-58,-55,-94,-87,2
-76,-64,-58,-91,-84,0
-70,-57,-57,-93,-89,2
-77,-63,-64,-91,-86,0
-72,-64,-53,-90,-89,0
-76,-64,-55,-91,-84,0
-77,-58,-49,-92,-89,2
-78,-60,-55,-95,-89,2
-81,-59,-58,-89,-89,2
-74,-64,-51,-89,-87,0
-72,-64,-54,-90,-91,0
-70,-64,-53,-90,-87,0
-79,-63,-60,-92,-85,1
-82,-63,-56,-91,-84,0
-73,-65,-57,-87,-85,1
-77,-59,-55,-89,-88,0
-75,-62,-55,-87,-83,1
-86,-57,-54,-91,-89,2
-78,-56,-61,-86,-85,1
-78,-63,-54,-90,-87,0
-73,-64,-52,-90,-90,0
-70,-64,-54,-90,-87,0
-89,-56,-52,-91,-87,2
-72,-64,-56,-91,-87,0
-71,-64,-55,-90,-87,0
-71,-64,-55,-90,-87,0
-74,-64,-52,-90,-87,0
-72,-64,-54,-90,-87,0
-81,-63,-57,-88,-85,1
-100,-61,-52,-92,-88,2
-76,-64,-57,-89,-85,1
-83,-63,-57,-90,-85,1
-86,-58,-51,-90,-88,2
-80,-62,-53,-91,-87,2
-80,-60,-56,-89,-85,1
-71,-64,-53,-90,-85,0
-74,-58,-56,-89,-85,2
-74,-65,-57,-89,-85,0
-79,-58,-49,-88,-89,2
-100,-56,-54,-87,-85,2
-78,-63,-64,-89,-85,1
-71,-64,-54,-94,-87,0
-76,-63,-53,-91,-85,0
-77,-58,-52,-89,-88,2
-71,-62,-62,-89,-85,1
-84,-54,-56,-89,-85,1
-80,-63,-57,-95,-85,1
-80,-57,-57,-92,-90,2
-77,-57,-59,-91,-89,2
-76,-58,-51,-90,-85,2
-79,-62,-57,-89,-85,1
-100,-63,-58,-89,-88,1
-79,-58,-51,-91,-89,2
-75,-64,-56,-91,-84,0
-72,-54,-61,-89,-87,2
-74,-63,-55,-88,-85,0
-73,-58,-55,-91,-87,2
-77,-61,-55,-89,-89,0
-78,-63,-58,-92,-85,1
-75,-62,-56,-87,-84,0
-73,-65,-66,-88,-86,1
-75,-61,-57,-91,-86,0
-82,-65,-58,-91,-89,2
-77,-64,-55,-88,-86,0
-77,-61,-53,-89,-85,0
-75,-68,-55,-89,-85,1
-71,-64,-54,-90,-85,0
-78,-63,-57,-89,-85,1
-77,-61,-55,-89,-85,0
-79,-63,-56,-90,-88,1
-70,-63,-100,-89,-87,2
-70,-64,-55,-91,-87,0
-81,-52,-55,-89,-83,1
-67,-64,-62,-89,-85,0
-70,-64,-53,-90,-87,0
-71,-63,-54,-89,-85,1
-73,-58,-54,-91,-88,2
-73,-64,-56,-90,-87,0
-73,-61,-56,-93,-85,1
-77,-60,-52,-89,-84,0
-73,-64,-54,-90,-87,0
-77,-62,-54,-89,-89,0
-72,-64,-57,-92,-88,0
-77,-58,-52,-90,-88,2
-70,-64,-52,-90,-87,0
-75,-58,-55,-89,-85,1
-74,-53,-55,-92,-90,2
-77,-62,-53,-89,-85,0
-77,-62,-54,-89,-85,1
-76,-63,-58,-88,-85,1
-74,-57,-54,-91,-90,2
-75,-57,-56,-90,-89,2
-74,-58,-54,-91,-89,2
-86,-58,-55,-91,-90,2
-82,-63,-56,-85,-85,1
-72,-64,-53,-89,-87,0
-72,-64,-54,-90,-87,0
-71,-63,-56,-89,-85,1
-78,-53,-60,-89,-87,1
-74,-58,-56,-91,-88,2
-82,-58,-55,-95,-86,2
-71,-64,-52,-90,-87,0
-73,-55,-54,-91,-86,2
-70,-64,-52,-92,-88,0
-73,-64,-56,-90,-87,0
-70,-60,-57,-91,-89,2
-71,-64,-56,-90,-89,0
-80,-63,-59,-87,-85,1
-80,-62,-54,-92,-85,1
-73,-57,-53,-91,-89,2
-80,-67,-56,-92,-89,2
-87,-58,-56,-91,-94,2
-74,-58,-58,-91,-90,2
-78,-54,-55,-90,-86,1
-78,-52,-59,-89,-85,1
-77,-64,-55,-89,-85,0
-72,-58,-56,-94,-89,2
-72,-56,-57,-91,-89,2
-79,-55,-66,-90,-86,1
