,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-91,-72,-90,-60,-71,-100,-100,-89,-89,-93,-91,-100,1
1,-89,-68,-90,-54,-62,-100,-100,-85,-91,-91,-90,-100,1
2,-91,-75,-89,-56,-61,-100,-100,-88,-91,-91,-91,-100,1
3,-89,-75,-83,-55,-58,-100,-100,-85,-89,-91,-91,-100,1
4,-89,-73,-88,-57,-65,-100,-100,-85,-87,-91,-91,-100,1
5,-91,-72,-90,-55,-66,-100,-100,-85,-89,-91,-91,-100,1
6,-91,-73,-90,-57,-62,-100,-100,-87,-91,-91,-91,-100,1
7,-91,-71,-90,-56,-63,-100,-100,-85,-89,-91,-91,-100,1
8,-91,-70,-90,-56,-64,-100,-63,-85,-91,-91,-91,-100,1
9,-91,-68,-90,-55,-61,-100,-63,-85,-89,-91,-91,-100,1
10,-91,-69,-90,-55,-61,-100,-63,-85,-91,-91,-91,-100,1
11,-91,-72,-90,-56,-61,-100,-63,-87,-90,-91,-91,-100,1
12,-91,-73,-90,-56,-63,-100,-60,-86,-89,-91,-91,-100,1
13,-91,-71,-90,-62,-62,-100,-61,-85,-89,-91,-91,-100,1
14,-91,-70,-90,-57,-65,-100,-61,-90,-89,-91,-91,-100,1
15,-90,-75,-90,-55,-64,-100,-60,-85,-88,-91,-90,-100,1
16,-91,-74,-90,-56,-63,-100,-61,-85,-89,-91,-91,-100,1
17,-91,-75,-90,-57,-57,-100,-62,-87,-93,-91,-90,-100,1
18,-91,-100,-90,-55,-62,-100,-61,-87,-86,-91,-91,-100,1
19,-91,-78,-84,-56,-62,-100,-63,-85,-89,-91,-91,-100,1
20,-91,-72,-90,-57,-61,-100,-61,-85,-89,-91,-83,-100,1
21,-91,-74,-90,-56,-63,-100,-60,-85,-89,-91,-91,-100,1
22,-91,-78,-91,-56,-63,-100,-61,-85,-88,-91,-91,-100,1
23,-91,-82,-90,-56,-63,-100,-61,-87,-89,-91,-91,-100,1
24,-91,-75,-90,-58,-63,-100,-61,-85,-89,-95,-91,-100,1
25,-91,-75,-90,-55,-62,-100,-61,-83,-87,-91,-81,-100,1
26,-90,-73,-94,-56,-61,-100,-61,-85,-93,-91,-85,-100,1
27,-91,-77,-93,-55,-65,-100,-62,-85,-92,-91,-84,-100,1
28,-91,-77,-92,-55,-66,-100,-63,-85,-89,-91,-91,-100,1
29,-89,-72,-90,-54,-63,-100,-61,-86,-91,-91,-88,-100,1
30,-91,-75,-90,-56,-63,-100,-64,-85,-91,-91,-90,-100,1
31,-91,-79,-91,-56,-62,-100,-63,-85,-91,-91,-89,-100,1
32,-91,-74,-90,-55,-62,-100,-61,-85,-91,-91,-91,-100,1
33,-91,-78,-90,-54,-64,-100,-60,-85,-92,-91,-89,-100,1
34,-91,-74,-89,-53,-63,-100,-60,-85,-89,-83,-91,-100,1
35,-91,-75,-90,-53,-63,-100,-61,-85,-89,-91,-91,-100,1
36,-91,-75,-90,-55,-64,-100,-62,-85,-89,-91,-91,-100,1
37,-91,-74,-90,-52,-62,-100,-63,-85,-90,-94,-93,-100,1
38,-91,-75,-89,-56,-63,-100,-72,-85,-90,-91,-91,-100,1
39,-93,-76,-90,-57,-64,-100,-61,-85,-89,-91,-91,-100,1
40,-91,-78,-90,-54,-62,-100,-63,-85,-89,-91,-91,-100,1
41,-91,-75,-90,-55,-68,-100,-60,-85,-89,-91,-91,-100,1
42,-91,-75,-90,-56,-65,-100,-61,-85,-89,-91,-91,-100,1
43,-91,-75,-90,-55,-64,-100,-63,-85,-89,-91,-91,-100,1
44,-91,-100,-90,-56,-62,-100,-62,-85,-92,-91,-93,-100,1
45,-91,-70,-90,-55,-64,-100,-61,-85,-89,-91,-91,-100,1
46,-91,-72,-90,-55,-62,-100,-62,-88,-93,-91,-91,-100,1
47,-91,-78,-90,-54,-60,-100,-60,-87,-89,-91,-91,-100,1
48,-91,-78,-90,-55,-63,-100,-100,-85,-89,-94,-89,-100,1
49,-91,-77,-86,-55,-63,-100,-60,-85,-85,-91,-88,-100,1
50,-91,-80,-91,-54,-62,-100,-60,-85,-92,-92,-88,-100,1
51,-91,-77,-90,-54,-62,-100,-61,-85,-89,-91,-91,-100,1
52,-91,-75,-87,-54,-60,-100,-59,-85,-87,-91,-87,-100,1
53,-91,-76,-90,-53,-61,-100,-61,-85,-89,-91,-91,-100,1
54,-91,-77,-90,-54,-64,-100,-58,-85,-89,-91,-91,-100,1
55,-91,-77,-90,-54,-64,-100,-62,-85,-89,-91,-91,-100,1
56,-91,-74,-90,-56,-58,-100,-58,-85,-89,-95,-91,-100,1
57,-91,-77,-90,-55,-61,-100,-61,-85,-90,-91,-91,-100,1
58,-91,-80,-90,-57,-62,-100,-61,-85,-89,-91,-91,-100,1
59,-91,-75,-90,-57,-62,-100,-62,-85,-91,-91,-91,-100,1
60,-91,-79,-90,-57,-62,-100,-62,-85,-89,-91,-91,-100,1
