,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-90,-76,-92,-54,-50,-100,-100,-89,-91,-90,-89,-100,2
1,-90,-72,-92,-53,-46,-100,-100,-88,-88,-90,-89,-100,2
2,-90,-74,-92,-53,-53,-100,-100,-89,-93,-90,-89,-100,2
3,-90,-76,-92,-51,-58,-100,-100,-83,-88,-90,-89,-100,2
4,-88,-74,-92,-52,-54,-100,-100,-89,-89,-90,-89,-100,2
5,-90,-74,-92,-51,-52,-100,-100,-87,-91,-90,-92,-100,2
6,-90,-75,-92,-54,-53,-100,-100,-89,-88,-90,-89,-100,2
7,-90,-85,-92,-52,-57,-100,-100,-84,-91,-90,-89,-100,2
8,-90,-73,-92,-54,-55,-100,-100,-86,-91,-90,-89,-100,2
9,-90,-76,-92,-53,-56,-100,-100,-89,-91,-90,-89,-100,2
10,-90,-79,-92,-54,-59,-100,-100,-89,-91,-90,-89,-100,2
11,-90,-77,-92,-50,-54,-100,-100,-89,-91,-90,-89,-100,2
12,-92,-79,-92,-55,-55,-100,-100,-89,-94,-90,-89,-100,2
13,-90,-80,-92,-52,-58,-100,-100,-87,-94,-90,-89,-100,2
14,-90,-86,-92,-54,-57,-100,-100,-89,-91,-90,-89,-100,2
15,-90,-77,-92,-54,-57,-100,-100,-88,-93,-90,-89,-100,2
16,-90,-80,-92,-56,-67,-100,-100,-89,-92,-90,-89,-100,2
17,-90,-77,-92,-52,-56,-100,-100,-87,-93,-90,-89,-100,2
18,-92,-74,-92,-52,-56,-100,-100,-89,-91,-90,-89,-100,2
19,-90,-73,-92,-55,-56,-100,-100,-85,-87,-90,-89,-100,2
20,-90,-89,-92,-52,-56,-100,-100,-87,-91,-90,-89,-100,2
21,-92,-80,-92,-53,-68,-100,-100,-87,-92,-90,-89,-100,2
22,-90,-84,-92,-50,-56,-100,-100,-89,-89,-90,-89,-100,2
23,-81,-72,-91,-54,-60,-100,-100,-89,-90,-90,-89,-100,2
24,-90,-100,-92,-54,-56,-100,-100,-85,-87,-90,-89,-100,2
25,-90,-80,-92,-53,-62,-100,-100,-87,-91,-90,-89,-100,2
26,-90,-78,-92,-54,-58,-100,-100,-86,-89,-90,-89,-100,2
27,-90,-100,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
28,-90,-79,-90,-53,-58,-100,-100,-89,-89,-90,-89,-100,2
29,-90,-72,-92,-51,-58,-100,-100,-85,-91,-90,-89,-100,2
30,-90,-77,-92,-53,-58,-100,-100,-87,-92,-90,-89,-100,2
31,-92,-73,-92,-53,-58,-100,-100,-89,-91,-90,-89,-100,2
32,-90,-82,-92,-52,-58,-100,-100,-87,-91,-90,-89,-100,2
33,-90,-79,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
34,-90,-85,-92,-53,-58,-100,-100,-86,-91,-90,-89,-100,2
35,-90,-81,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
36,-90,-75,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
37,-90,-77,-92,-52,-58,-100,-100,-88,-90,-90,-89,-100,2
38,-90,-86,-92,-51,-58,-100,-100,-88,-90,-90,-89,-100,2
39,-90,-72,-92,-52,-58,-100,-100,-86,-91,-90,-89,-100,2
40,-91,-75,-87,-55,-58,-100,-100,-89,-89,-90,-87,-100,2
41,-90,-75,-92,-52,-58,-100,-100,-86,-91,-90,-89,-100,2
42,-90,-72,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
43,-84,-83,-92,-52,-58,-100,-100,-89,-84,-90,-89,-100,2
44,-90,-75,-92,-50,-58,-100,-100,-84,-91,-90,-89,-100,2
45,-90,-100,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
46,-90,-76,-92,-51,-58,-100,-100,-85,-89,-90,-89,-100,2
47,-90,-84,-92,-47,-58,-100,-100,-89,-91,-90,-89,-100,2
48,-90,-85,-92,-49,-58,-100,-100,-89,-91,-90,-89,-100,2
49,-90,-76,-92,-47,-58,-100,-100,-85,-92,-90,-89,-100,2
50,-90,-81,-92,-48,-58,-100,-100,-87,-92,-90,-94,-100,2
51,-90,-70,-92,-48,-58,-100,-100,-87,-91,-90,-89,-100,2
52,-89,-79,-92,-45,-58,-100,-100,-84,-91,-90,-87,-100,2
53,-90,-77,-92,-47,-58,-100,-100,-87,-91,-90,-89,-100,2
54,-90,-78,-92,-51,-58,-100,-100,-88,-95,-90,-89,-100,2
55,-90,-88,-92,-49,-58,-100,-100,-89,-91,-90,-89,-100,2
56,-89,-79,-89,-49,-58,-100,-100,-89,-88,-90,-88,-100,2
57,-90,-74,-92,-48,-58,-100,-100,-82,-87,-90,-89,-100,2
58,-90,-80,-92,-48,-58,-100,-100,-89,-91,-90,-89,-100,2
59,-90,-77,-92,-49,-58,-100,-100,-89,-92,-90,-89,-100,2
60,-90,-85,-92,-48,-58,-100,-100,-88,-91,-90,-89,-100,2
61,-90,-80,-92,-48,-58,-100,-100,-88,-93,-90,-89,-100,2
62,-90,-71,-92,-51,-58,-100,-100,-89,-97,-90,-89,-100,2
63,-90,-79,-92,-51,-58,-100,-100,-89,-91,-90,-89,-100,2
64,-90,-75,-92,-49,-58,-100,-100,-87,-92,-90,-89,-100,2
65,-90,-76,-92,-56,-58,-100,-100,-89,-92,-90,-92,-100,2
66,-90,-77,-92,-53,-58,-100,-100,-89,-91,-90,-89,-100,2
67,-90,-74,-92,-55,-58,-100,-100,-89,-91,-90,-89,-100,2
68,-90,-77,-92,-51,-58,-100,-100,-87,-92,-90,-89,-100,2
69,-89,-75,-92,-53,-58,-100,-100,-89,-89,-90,-89,-100,2
70,-89,-76,-92,-52,-58,-100,-100,-88,-90,-90,-89,-100,2
71,-90,-76,-92,-58,-58,-100,-100,-89,-90,-90,-89,-100,2
72,-90,-83,-92,-52,-58,-100,-100,-85,-91,-90,-89,-100,2
73,-90,-77,-92,-52,-58,-100,-100,-88,-89,-90,-89,-100,2
74,-90,-75,-92,-50,-58,-100,-100,-82,-93,-90,-90,-100,2
75,-92,-73,-92,-54,-58,-100,-100,-88,-91,-90,-89,-100,2
76,-89,-82,-88,-52,-58,-100,-100,-89,-87,-90,-80,-100,2
77,-90,-76,-92,-51,-58,-100,-100,-85,-90,-90,-89,-100,2
78,-90,-74,-93,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
79,-90,-73,-92,-53,-58,-100,-100,-84,-87,-90,-89,-100,2
80,-90,-75,-92,-51,-58,-100,-100,-85,-91,-90,-89,-100,2
81,-90,-77,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
82,-90,-79,-92,-52,-58,-100,-100,-90,-91,-90,-89,-100,2
83,-90,-79,-88,-51,-58,-100,-100,-85,-91,-90,-89,-100,2
84,-90,-77,-94,-54,-58,-100,-100,-89,-91,-90,-92,-100,2
85,-90,-83,-92,-53,-58,-100,-100,-88,-91,-90,-89,-100,2
86,-90,-74,-92,-56,-58,-100,-100,-88,-91,-90,-89,-100,2
87,-90,-77,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
88,-90,-86,-92,-55,-58,-100,-100,-90,-91,-90,-89,-100,2
89,-90,-81,-92,-53,-58,-100,-100,-89,-94,-90,-89,-100,2
90,-90,-77,-91,-56,-58,-100,-100,-89,-95,-90,-89,-100,2
91,-90,-72,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
92,-90,-74,-92,-57,-58,-100,-100,-89,-93,-90,-89,-100,2
93,-90,-81,-92,-55,-58,-100,-100,-89,-91,-90,-89,-100,2
94,-90,-74,-92,-57,-58,-100,-100,-88,-93,-90,-89,-100,2
95,-90,-73,-93,-52,-58,-100,-100,-89,-90,-90,-89,-100,2
96,-90,-76,-92,-55,-58,-100,-100,-86,-91,-90,-89,-100,2
97,-90,-74,-92,-53,-58,-100,-100,-89,-91,-90,-89,-100,2
98,-90,-76,-92,-57,-58,-100,-100,-88,-90,-90,-92,-100,2
99,-90,-80,-92,-55,-58,-100,-100,-89,-91,-90,-89,-100,2
100,-90,-71,-92,-53,-58,-100,-100,-84,-91,-90,-89,-100,2
101,-90,-100,-92,-53,-58,-100,-100,-89,-91,-90,-89,-100,2
102,-90,-100,-92,-55,-58,-100,-100,-89,-91,-90,-89,-100,2
103,-90,-80,-92,-56,-58,-100,-100,-84,-91,-90,-89,-100,2
104,-90,-80,-92,-53,-58,-100,-100,-89,-92,-90,-89,-100,2
105,-90,-79,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
106,-90,-82,-92,-55,-58,-100,-100,-86,-95,-90,-89,-100,2
107,-90,-76,-90,-51,-58,-100,-100,-84,-87,-90,-89,-100,2
108,-90,-76,-92,-55,-58,-100,-100,-89,-91,-90,-89,-100,2
109,-90,-77,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
110,-90,-85,-92,-58,-58,-100,-100,-89,-91,-90,-89,-100,2
111,-90,-73,-92,-55,-58,-100,-100,-87,-91,-90,-89,-100,2
112,-90,-100,-92,-53,-58,-100,-100,-84,-91,-90,-89,-100,2
113,-90,-81,-92,-54,-58,-100,-100,-90,-91,-90,-89,-100,2
114,-90,-71,-92,-53,-58,-100,-100,-89,-91,-90,-89,-100,2
115,-90,-86,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
116,-90,-84,-92,-57,-58,-100,-100,-87,-91,-90,-89,-100,2
117,-90,-75,-90,-56,-58,-100,-100,-87,-91,-90,-89,-100,2
118,-90,-74,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
119,-90,-74,-92,-60,-58,-100,-100,-90,-91,-90,-89,-100,2
120,-90,-72,-92,-56,-58,-100,-100,-89,-94,-90,-93,-100,2
121,-90,-74,-92,-56,-58,-100,-100,-85,-89,-90,-89,-100,2
122,-89,-78,-83,-53,-58,-100,-100,-89,-90,-90,-89,-100,2
123,-90,-73,-92,-54,-58,-100,-100,-89,-88,-90,-89,-100,2
124,-92,-79,-92,-54,-58,-100,-100,-89,-90,-90,-92,-100,2
125,-90,-73,-92,-55,-58,-100,-100,-87,-94,-90,-89,-100,2
126,-92,-84,-92,-53,-58,-100,-100,-89,-92,-90,-89,-100,2
127,-88,-81,-92,-52,-58,-100,-100,-89,-91,-90,-89,-100,2
128,-90,-87,-92,-56,-58,-100,-100,-94,-91,-90,-89,-100,2
129,-90,-82,-92,-51,-58,-100,-100,-90,-90,-90,-89,-100,2
130,-90,-75,-92,-56,-58,-100,-100,-89,-91,-90,-89,-100,2
131,-87,-71,-91,-56,-58,-100,-100,-89,-87,-90,-89,-100,2
132,-90,-74,-92,-53,-58,-100,-100,-85,-88,-90,-91,-100,2
133,-90,-76,-92,-54,-57,-100,-100,-88,-94,-90,-89,-100,2
134,-88,-78,-89,-56,-57,-100,-100,-89,-91,-90,-81,-100,2
135,-86,-81,-92,-58,-59,-100,-100,-89,-89,-90,-89,-100,2
136,-90,-74,-92,-58,-58,-100,-100,-90,-91,-90,-89,-100,2
137,-91,-75,-92,-58,-59,-100,-100,-85,-90,-90,-89,-100,2
138,-90,-71,-92,-52,-56,-100,-100,-89,-89,-90,-89,-100,2
139,-85,-73,-87,-58,-65,-100,-100,-85,-87,-90,-89,-100,2
140,-90,-75,-92,-55,-56,-100,-100,-89,-91,-90,-89,-100,2
141,-90,-74,-92,-56,-56,-100,-100,-88,-91,-90,-89,-100,2
142,-90,-74,-92,-59,-54,-100,-100,-88,-94,-90,-89,-100,2
143,-92,-88,-92,-57,-57,-100,-100,-89,-91,-90,-89,-100,2
144,-92,-72,-94,-55,-58,-100,-100,-89,-94,-90,-89,-100,2
145,-93,-76,-91,-59,-59,-100,-100,-89,-91,-90,-90,-100,2
146,-90,-75,-90,-67,-55,-100,-100,-90,-90,-90,-92,-100,2
147,-90,-77,-92,-59,-55,-100,-100,-88,-91,-90,-85,-100,2
148,-90,-74,-92,-57,-55,-100,-100,-88,-91,-90,-89,-100,2
149,-88,-77,-88,-55,-57,-100,-100,-85,-91,-90,-89,-100,2
150,-90,-72,-92,-59,-58,-100,-100,-87,-91,-90,-89,-100,2
151,-90,-82,-92,-58,-65,-100,-100,-89,-91,-90,-89,-100,2
152,-90,-73,-92,-54,-58,-100,-100,-89,-91,-90,-89,-100,2
153,-90,-78,-92,-54,-56,-100,-100,-88,-91,-90,-89,-100,2
154,-90,-72,-93,-57,-57,-100,-100,-89,-90,-90,-89,-100,2
155,-90,-79,-92,-53,-55,-100,-100,-85,-91,-90,-89,-100,2
