Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-100,-77,-100,-62,-68,-100,-60,-87,-100,-100,-100,-100,1
-80,-73,-91,-66,-65,-100,-61,-86,-88,-100,-89,-100,1
-100,-80,-91,-66,-57,-100,-63,-100,-91,-100,-90,-100,1
-85,-81,-86,-59,-54,-100,-60,-100,-86,-100,-85,-100,1
-89,-85,-85,-60,-52,-100,-61,-100,-90,-100,-100,-100,1
-93,-80,-100,-63,-55,-100,-64,-100,-100,-100,-91,-100,1
-100,-79,-100,-64,-54,-100,-62,-100,-100,-100,-92,-100,1
-100,-78,-100,-62,-53,-100,-61,-87,-100,-100,-100,-100,1
-100,-84,-92,-62,-51,-100,-62,-100,-100,-100,-100,-100,1
-100,-78,-90,-63,-56,-100,-62,-87,-91,-100,-94,-100,1
-92,-85,-100,-56,-65,-100,-61,-100,-100,-100,-100,-100,1
-100,-78,-100,-55,-54,-100,-64,-86,-100,-100,-100,-100,1
-88,-81,-88,-64,-55,-100,-63,-100,-100,-100,-88,-100,1
-100,-84,-92,-63,-54,-100,-64,-100,-100,-100,-100,-100,1
-100,-79,-100,-66,-55,-100,-65,-100,-100,-100,-100,-100,1
-90,-75,-90,-60,-51,-100,-63,-100,-100,-100,-91,-100,1
-88,-77,-100,-67,-56,-100,-69,-100,-100,-100,-100,-100,1
-100,-80,-89,-64,-55,-100,-64,-100,-88,-100,-100,-100,1
-100,-77,-100,-64,-56,-100,-63,-100,-91,-100,-100,-100,1
-100,-78,-94,-62,-65,-100,-60,-100,-100,-100,-100,-100,1
