,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-88,-76,-93,-57,-58,-100,-61,-84,-88,-95,-88,-100,0
1,-96,-74,-93,-55,-60,-100,-64,-84,-91,-95,-88,-100,0
2,-88,-73,-93,-58,-64,-100,-61,-88,-91,-93,-88,-100,0
3,-88,-75,-92,-63,-64,-100,-63,-84,-91,-92,-88,-100,0
4,-88,-77,-93,-56,-65,-100,-61,-84,-91,-93,-88,-100,0
5,-88,-84,-93,-55,-65,-100,-62,-84,-91,-93,-88,-100,0
6,-88,-77,-93,-55,-62,-100,-63,-86,-92,-93,-88,-100,0
7,-88,-76,-93,-57,-63,-100,-61,-84,-92,-93,-88,-100,0
8,-94,-76,-93,-55,-63,-100,-62,-88,-90,-93,-88,-100,0
9,-88,-74,-93,-54,-64,-100,-60,-84,-90,-93,-88,-100,0
10,-88,-74,-94,-55,-63,-100,-62,-84,-91,-93,-88,-100,0
11,-88,-75,-89,-56,-62,-100,-61,-84,-87,-93,-86,-100,0
12,-88,-75,-93,-57,-61,-100,-61,-86,-91,-93,-88,-100,0
13,-88,-76,-93,-58,-65,-100,-62,-84,-91,-93,-88,-100,0
14,-92,-77,-90,-58,-64,-100,-63,-84,-91,-93,-88,-100,0
15,-88,-85,-93,-56,-64,-100,-63,-86,-91,-93,-88,-100,0
16,-88,-84,-93,-54,-63,-100,-64,-84,-91,-89,-88,-100,0
17,-87,-75,-93,-52,-64,-100,-62,-84,-91,-91,-88,-100,0
18,-88,-74,-93,-56,-63,-100,-61,-84,-87,-93,-88,-100,0
19,-88,-76,-93,-56,-63,-100,-61,-84,-91,-93,-88,-100,0
20,-90,-75,-89,-54,-63,-100,-62,-84,-91,-92,-87,-100,0
21,-88,-74,-93,-55,-63,-100,-61,-87,-93,-93,-88,-100,0
22,-88,-100,-93,-56,-63,-100,-62,-86,-91,-93,-91,-100,0
23,-88,-75,-93,-56,-62,-100,-62,-83,-90,-93,-88,-100,0
24,-88,-76,-93,-56,-64,-100,-62,-87,-93,-93,-88,-100,0
25,-88,-76,-93,-55,-64,-100,-62,-84,-91,-93,-88,-100,0
26,-88,-76,-93,-56,-64,-100,-61,-88,-91,-93,-88,-100,0
27,-88,-76,-93,-55,-64,-100,-62,-88,-91,-93,-88,-100,0
28,-90,-76,-93,-56,-65,-100,-62,-84,-91,-90,-88,-100,0
29,-88,-75,-93,-56,-63,-100,-62,-84,-88,-93,-88,-100,0
30,-88,-75,-93,-56,-64,-100,-62,-84,-89,-84,-82,-100,0
31,-88,-75,-93,-57,-63,-100,-61,-84,-91,-86,-88,-100,0
32,-88,-75,-93,-56,-65,-100,-63,-84,-91,-93,-88,-100,0
33,-88,-78,-93,-55,-62,-100,-62,-86,-93,-93,-88,-100,0
34,-88,-76,-86,-54,-63,-100,-61,-84,-91,-93,-88,-100,0
