,UoM_Wireless1,UoM_Wireless6,Chamidi11,IsuruAp6,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
37,-83.0,-100.0,-72.0,-54.0,-84.0,-55.0,-84.0,-67.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,2.0
38,-84.0,-100.0,-75.0,-51.0,-84.0,-52.0,-84.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
39,-83.0,-100.0,-77.0,-52.0,-84.0,-54.0,-84.0,-62.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
40,-84.0,-100.0,-74.0,-53.0,-85.0,-55.0,-86.0,-63.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-87.0,2.0
41,-86.0,-100.0,-73.0,-52.0,-86.0,-55.0,-85.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
42,-83.0,-100.0,-73.0,-52.0,-84.0,-54.0,-84.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
43,-94.0,-100.0,-71.0,-51.0,-85.0,-56.0,-86.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
44,-82.0,-100.0,-79.0,-52.0,-84.0,-54.0,-82.0,-64.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
45,-85.0,-100.0,-70.0,-53.0,-84.0,-55.0,-84.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
46,-87.0,-100.0,-75.0,-51.0,-84.0,-55.0,-84.0,-61.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-82.0,2.0
47,-84.0,-100.0,-83.0,-51.0,-85.0,-56.0,-84.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
48,-84.0,-100.0,-68.0,-50.0,-84.0,-51.0,-87.0,-60.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
49,-86.0,-100.0,-70.0,-50.0,-83.0,-55.0,-86.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
50,-89.0,-100.0,-69.0,-48.0,-89.0,-55.0,-84.0,-62.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
51,-84.0,-100.0,-71.0,-51.0,-84.0,-56.0,-82.0,-60.0,-100.0,-86.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
52,-82.0,-100.0,-70.0,-48.0,-86.0,-55.0,-85.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
53,-83.0,-100.0,-70.0,-52.0,-85.0,-56.0,-82.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
54,-83.0,-100.0,-77.0,-51.0,-86.0,-56.0,-86.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-85.0,2.0
55,-88.0,-100.0,-82.0,-50.0,-88.0,-55.0,-84.0,-100.0,-100.0,-92.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
56,-82.0,-100.0,-74.0,-50.0,-84.0,-54.0,-84.0,-65.0,-100.0,-82.0,-100.0,-100.0,-100.0,-100.0,-86.0,2.0
57,-82.0,-100.0,-71.0,-50.0,-84.0,-51.0,-84.0,-62.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-83.0,2.0
58,-83.0,-100.0,-70.0,-48.0,-84.0,-53.0,-84.0,-66.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,2.0
59,-85.0,-100.0,-66.0,-48.0,-84.0,-53.0,-84.0,-64.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
60,-83.0,-100.0,-80.0,-51.0,-84.0,-55.0,-83.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
61,-83.0,-100.0,-74.0,-53.0,-84.0,-55.0,-84.0,-62.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
62,-84.0,-100.0,-70.0,-48.0,-84.0,-53.0,-83.0,-62.0,-100.0,-80.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
63,-88.0,-100.0,-70.0,-46.0,-87.0,-54.0,-86.0,-65.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
64,-87.0,-100.0,-76.0,-50.0,-87.0,-56.0,-84.0,-63.0,-100.0,-87.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
65,-83.0,-100.0,-81.0,-47.0,-84.0,-55.0,-84.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-82.0,2.0
66,-81.0,-100.0,-71.0,-50.0,-84.0,-53.0,-80.0,-61.0,-100.0,-84.0,-100.0,-100.0,-100.0,-100.0,-85.0,2.0
67,-87.0,-100.0,-70.0,-48.0,-84.0,-54.0,-86.0,-71.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
68,-83.0,-100.0,-75.0,-49.0,-81.0,-53.0,-84.0,-62.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
69,-83.0,-100.0,-67.0,-50.0,-83.0,-53.0,-82.0,-63.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-78.0,2.0
70,-83.0,-100.0,-72.0,-49.0,-82.0,-53.0,-81.0,-61.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-85.0,2.0
71,-83.0,-100.0,-69.0,-52.0,-84.0,-54.0,-84.0,-62.0,-100.0,-91.0,-100.0,-100.0,-100.0,-100.0,-84.0,2.0
72,-89.0,-100.0,-72.0,-51.0,-84.0,-56.0,-84.0,-64.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-86.0,2.0
