Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-100,-64,-55,-62,-91,-83,0
-77,-55,-58,-100,-87,-84,2
-73,-63,-56,-62,-89,-87,0
-74,-60,-55,-64,-92,-89,0
-73,-63,-64,-100,-91,-86,2
-72,-61,-56,-63,-90,-87,1
-80,-62,-58,-60,-87,-87,1
-75,-64,-55,-62,-90,-87,1
-80,-62,-53,-100,-91,-87,2
-73,-63,-56,-58,-89,-87,0
-66,-62,-56,-59,-90,-88,2
-75,-56,-55,-100,-91,-87,2
-75,-57,-56,-62,-90,-87,1
-80,-54,-66,-62,-91,-87,1
-77,-56,-53,-100,-91,-87,2
-75,-62,-57,-63,-90,-87,1
-73,-63,-55,-57,-89,-85,0
-77,-62,-54,-62,-92,-89,0
-75,-68,-55,-60,-90,-87,1
-83,-55,-58,-61,-90,-87,1
-72,-63,-55,-57,-89,-88,0
-85,-65,-56,-61,-91,-87,1
-77,-62,-60,-62,-90,-87,1
-80,-59,-55,-100,-91,-87,2
-70,-63,-52,-60,-92,-88,0
-72,-56,-57,-100,-91,-87,2
-79,-62,-60,-68,-92,-87,1
-75,-52,-60,-62,-90,-84,1
-84,-63,-54,-64,-92,-89,0
-71,-56,-57,-100,-91,-84,2
-71,-63,-53,-61,-94,-88,0
-73,-62,-57,-100,-91,-87,1
-70,-63,-100,-66,-89,-87,2
-73,-63,-53,-58,-94,-84,0
-80,-57,-57,-100,-92,-90,2
-81,-54,-62,-63,-93,-87,1
-76,-63,-57,-61,-92,-89,0
-76,-64,-56,-62,-93,-87,0
-84,-54,-56,-62,-90,-87,1
-79,-56,-51,-100,-91,-85,2
-73,-55,-54,-100,-91,-86,2
-73,-63,-54,-60,-89,-87,0
-72,-56,-52,-100,-91,-89,2
-80,-56,-53,-100,-92,-87,2
-82,-56,-52,-100,-87,-87,2
-84,-50,-59,-63,-89,-87,1
-100,-56,-54,-100,-87,-85,2
-81,-54,-60,-64,-90,-87,1
-76,-58,-51,-100,-92,-87,2
-74,-62,-52,-63,-90,-87,1
-75,-55,-67,-100,-90,-90,2
-73,-63,-52,-58,-88,-87,0
-78,-60,-58,-62,-90,-87,1
-70,-57,-57,-100,-93,-89,2
-70,-65,-55,-60,-89,-90,0
-70,-63,-51,-58,-95,-87,0
-75,-64,-56,-62,-89,-89,0
-78,-56,-61,-59,-86,-87,1
-81,-59,-58,-100,-89,-87,2
-76,-64,-56,-61,-92,-88,0
-71,-64,-52,-59,-89,-87,0
-74,-62,-53,-64,-89,-89,0
