Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11,id
-73,-64,-53,-58,-92,-87,0
-69,-63,-53,-60,-89,-86,0
-75,-65,-56,-61,-89,-87,1
-77,-56,-54,-100,-91,-87,2
-76,-64,-56,-63,-92,-89,0
-82,-63,-54,-59,-89,-87,0
-77,-56,-49,-100,-92,-87,2
-84,-56,-53,-100,-92,-87,2
-71,-64,-53,-59,-91,-87,0
-69,-67,-54,-68,-92,-85,0
-100,-63,-56,-62,-92,-86,0
-75,-53,-59,-62,-89,-86,1
-72,-63,-53,-59,-89,-87,0
-76,-65,-59,-63,-94,-89,0
-86,-63,-57,-60,-89,-89,0
-78,-62,-58,-61,-91,-87,1
-72,-71,-60,-100,-90,-89,1
-71,-62,-62,-61,-90,-87,1
-75,-63,-58,-61,-92,-87,0
-83,-62,-58,-64,-90,-87,1
-70,-63,-54,-62,-89,-89,0
-77,-65,-56,-59,-92,-89,0
-73,-55,-57,-100,-91,-87,2
-71,-63,-55,-60,-89,-87,0
-74,-56,-60,-100,-91,-90,2
-75,-56,-55,-100,-92,-87,2
-75,-63,-54,-62,-92,-84,0
-74,-62,-54,-64,-89,-89,0
-76,-56,-58,-100,-90,-87,2
-72,-57,-57,-100,-90,-87,2
-100,-62,-55,-61,-86,-87,1
-74,-63,-56,-61,-90,-87,1
-88,-56,-49,-100,-91,-87,2
-81,-62,-57,-63,-88,-84,1
-78,-62,-56,-63,-90,-87,1
-72,-62,-55,-62,-93,-88,1
-76,-58,-54,-100,-91,-84,2
-79,-56,-45,-100,-91,-84,2
-70,-60,-53,-59,-88,-87,0
-76,-62,-56,-61,-92,-89,0
-72,-63,-52,-59,-89,-87,0
-76,-62,-57,-62,-90,-87,1
-78,-62,-59,-62,-95,-87,1
-71,-65,-57,-59,-89,-87,0
-76,-61,-53,-61,-90,-87,1
-70,-63,-52,-59,-89,-87,0
-74,-66,-52,-63,-89,-85,0
-77,-56,-53,-100,-92,-87,2
-76,-63,-53,-64,-91,-85,0
-73,-56,-55,-100,-87,-85,2
-73,-56,-52,-100,-90,-87,2
-76,-63,-56,-61,-92,-89,0
-76,-63,-55,-62,-90,-88,0
-74,-63,-51,-64,-94,-87,0
-77,-57,-59,-100,-91,-89,2
-84,-53,-59,-62,-90,-87,1
-75,-57,-57,-62,-93,-87,1
-80,-55,-58,-63,-90,-87,1
-72,-63,-53,-60,-89,-87,0
-70,-63,-52,-58,-89,-87,0
-82,-56,-55,-100,-95,-86,2
-78,-54,-60,-63,-90,-87,1
-77,-68,-62,-60,-91,-87,1
-73,-55,-54,-100,-91,-87,2
-68,-57,-54,-100,-91,-87,2
-69,-63,-53,-58,-94,-90,0
-77,-62,-61,-61,-90,-85,1
-78,-60,-55,-100,-95,-87,2
-69,-63,-53,-59,-89,-87,0
-77,-66,-55,-63,-90,-87,1
-74,-62,-55,-64,-89,-90,0
-81,-55,-58,-62,-89,-87,1
-72,-64,-55,-60,-89,-87,0
-79,-56,-49,-100,-88,-87,2
-74,-56,-57,-100,-93,-88,2
-70,-63,-51,-61,-91,-87,0
-85,-62,-62,-62,-90,-87,1
-81,-56,-54,-100,-91,-90,2
-74,-64,-54,-64,-91,-85,0
-85,-54,-60,-62,-90,-89,1
-81,-54,-59,-60,-86,-87,1
-82,-62,-58,-63,-93,-87,1
-69,-63,-52,-58,-91,-87,0
-77,-56,-51,-100,-92,-87,2
-82,-62,-56,-60,-85,-87,1
-72,-64,-60,-61,-89,-87,1
-77,-55,-55,-100,-91,-92,2
-77,-64,-54,-58,-90,-87,1
-77,-56,-52,-100,-93,-87,2
-70,-63,-53,-58,-90,-87,0
-80,-55,-64,-64,-88,-87,1
-77,-57,-55,-100,-91,-85,2
-75,-63,-57,-61,-92,-89,0
-72,-63,-52,-61,-89,-87,0
-74,-58,-57,-100,-87,-87,2
-71,-63,-52,-59,-91,-85,0
-72,-63,-56,-60,-91,-87,0
-79,-56,-54,-100,-91,-89,2
-74,-64,-50,-64,-89,-85,0
-78,-62,-58,-63,-90,-87,1
-82,-56,-52,-100,-91,-87,2
-71,-56,-56,-100,-87,-87,2
-80,-56,-48,-100,-91,-87,2
-75,-64,-63,-63,-92,-89,0
-77,-56,-52,-100,-90,-88,2
-73,-65,-58,-100,-87,-85,2
-84,-62,-58,-62,-89,-87,1
-75,-61,-57,-61,-91,-86,0
-75,-61,-56,-100,-91,-88,1
-84,-59,-58,-63,-90,-87,1
-84,-54,-61,-64,-90,-87,1
-74,-64,-55,-64,-89,-85,0
