UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-92,-100,-71,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-100,-100,-100,-100,-66,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-93,-100,-70,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-91,-100,-74,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-93,-100,-75,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-94,-100,-67,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-88,2
-91,-100,-100,-100,-67,-93,-100,-100,-88,-100,,-100,-100,-100,-100,2
-89,-100,-70,-100,-61,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-90,-100,-74,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-86,2
-93,-100,-71,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-100,2
-89,-100,-73,-100,-64,-100,-100,-100,-100,-100,,-100,-100,-100,-86,2
-90,-100,-66,-100,-62,-93,-100,-100,-100,-100,,-100,-100,-100,-100,2
-93,-100,-70,-89,-66,-86,-100,-100,-87,-100,,-100,-100,-100,-100,2
-91,-100,-72,-100,-76,-100,-100,-100,-93,-100,,-100,-100,-100,-100,2
-92,-100,-69,-100,-66,-90,-100,-100,-100,-100,,-100,-100,-100,-100,2
-92,-100,-65,-100,-63,-100,-100,-100,-87,-100,,-100,-100,-100,-100,2
-89,-100,-67,-100,-65,-100,-100,-100,-86,-100,,-100,-100,-100,-88,2
-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-100,-100,-82,-100,-66,-100,-100,-100,-89,-100,,-100,-100,-100,-100,2
-100,-100,-78,-100,-65,-100,-100,-100,-100,-100,,-100,-100,-100,-89,2
-88,-100,-77,-100,-65,-89,-100,-100,-100,-100,,-100,-100,-100,-100,2
-88,-100,-79,-100,-63,-100,-100,-100,-85,-100,,-100,-100,-100,-100,2
