Chamidi1,NipunaM6,IsuruAp6,Sandali11,UoM_Wireless11,UNIC-wifi11
-71,-57,-53,-100,-91,-84
-77,-64,-54,-62,-91,-86
-77,-62,-55,-63,-92,-86
-69,-65,-53,-58,-92,-90
-77,-58,-61,-62,-92,-86
-77,-62,-54,-64,-89,-89
-70,-65,-52,-58,-92,-87
-75,-66,-58,-64,-91,-84
-72,-65,-56,-60,-92,-87
-74,-58,-58,-100,-93,-88
-70,-64,-52,-58,-92,-87
-77,-63,-53,-64,-90,-85
-76,-65,-56,-62,-92,-89
-77,-57,-54,-100,-91,-88
-74,-58,-56,-58,-91,-86
-85,-57,-52,-100,-91,-84
-75,-64,-56,-62,-91,-89
-72,-54,-61,-100,-89,-87
-75,-55,-67,-100,-90,-90
-78,-62,-59,-62,-95,-86
-77,-68,-62,-60,-88,-87
-74,-65,-52,-60,-88,-86
-71,-65,-57,-59,-92,-87
-70,-65,-51,-57,-92,-86
-69,-62,-54,-100,-90,-90
-72,-65,-55,-57,-89,-86
-76,-58,-51,-100,-92,-88
-78,-57,-60,-63,-91,-86
-71,-62,-55,-60,-92,-87
-70,-65,-52,-60,-92,-88
-69,-65,-51,-58,-90,-85
-75,-63,-56,-62,-93,-89
-77,-62,-58,-60,-91,-86
-76,-64,-56,-63,-91,-89
-74,-65,-52,-57,-90,-87
-75,-56,-60,-100,-87,-82
-71,-65,-54,-60,-89,-87
-76,-64,-55,-62,-91,-89
-78,-65,-62,-60,-88,-87
-72,-65,-55,-57,-92,-87
-80,-62,-57,-62,-91,-86
-77,-54,-54,-62,-91,-86
-85,-57,-48,-100,-91,-88
-69,-65,-53,-60,-92,-86
-76,-57,-55,-100,-93,-88
-72,-71,-60,-100,-91,-89
-83,-62,-57,-64,-91,-86
-71,-62,-52,-60,-92,-88
-77,-63,-53,-64,-89,-88
-76,-57,-51,-100,-87,-84
-77,-62,-53,-64,-89,-89
-75,-56,-57,-100,-91,-88
-77,-65,-56,-64,-89,-88
-74,-57,-60,-100,-91,-90
-71,-65,-53,-59,-92,-89
-75,-57,-56,-100,-91,-87
-72,-65,-55,-57,-92,-88
-72,-62,-55,-62,-93,-88
-71,-57,-56,-100,-87,-88
-69,-61,-55,-63,-91,-85
-82,-62,-58,-63,-93,-86
-76,-62,-58,-64,-88,-86
-77,-64,-53,-64,-89,-86
-70,-57,-53,-100,-91,-87
-82,-62,-56,-61,-87,-86
-85,-65,-51,-58,-88,-85
-71,-65,-54,-59,-92,-85
-71,-64,-52,-59,-92,-87
-78,-57,-53,-100,-90,-88
-76,-62,-56,-61,-91,-89
-72,-60,-54,-100,-90,-88
-77,-56,-64,-63,-91,-87
-72,-65,-53,-60,-92,-87
-100,-62,-56,-62,-92,-86
-73,-55,-54,-100,-91,-88
-83,-62,-58,-64,-91,-86
-76,-63,-57,-63,-90,-89
-72,-65,-54,-62,-92,-87
-76,-57,-55,-100,-91,-88
-70,-65,-50,-57,-90,-87
-78,-62,-59,-62,-91,-86
-75,-53,-59,-62,-89,-86
-78,-62,-58,-65,-89,-86
-75,-57,-55,-100,-89,-88
-84,-62,-58,-62,-89,-86
-73,-58,-54,-100,-91,-88
-79,-57,-60,-64,-95,-89
-77,-63,-55,-60,-85,-85
-76,-64,-55,-62,-91,-88
-100,-61,-52,-100,-92,-88
-76,-57,-51,-100,-90,-85
-76,-62,-57,-62,-91,-86
-72,-65,-51,-59,-94,-87
-77,-64,-55,-65,-89,-82
-74,-65,-57,-60,-89,-85
-76,-61,-53,-61,-91,-86
-84,-54,-57,-61,-90,-86
-84,-63,-54,-64,-91,-89
-74,-56,-56,-100,-91,-88
-72,-65,-54,-60,-92,-89
-79,-62,-60,-68,-92,-86
-70,-65,-55,-59,-91,-87
-72,-65,-56,-59,-92,-87
-71,-63,-52,-58,-89,-87
-78,-54,-55,-64,-88,-86
-77,-57,-54,-100,-91,-88
-75,-58,-55,-100,-91,-86
-70,-65,-54,-60,-92,-87
-70,-65,-51,-58,-95,-87
-72,-57,-55,-100,-92,-87
-70,-65,-54,-58,-90,-84
-73,-58,-58,-100,-92,-88
-77,-56,-52,-100,-93,-87
-74,-53,-53,-100,-93,-89
-78,-56,-54,-100,-91,-88
-77,-62,-54,-61,-91,-86
-69,-65,-50,-58,-92,-87
-72,-65,-54,-59,-90,-85
-69,-65,-51,-60,-93,-88
-79,-55,-66,-65,-88,-87
-74,-63,-53,-63,-89,-85
-81,-54,-60,-64,-91,-86
-74,-54,-59,-100,-94,-88
-85,-62,-62,-62,-91,-86
-83,-65,-56,-62,-86,-89
-79,-55,-53,-100,-91,-85
-77,-62,-53,-64,-89,-88
-80,-62,-58,-60,-87,-86
-72,-65,-53,-58,-89,-87
-73,-62,-57,-100,-91,-87
-72,-65,-54,-59,-94,-88
-100,-62,-55,-61,-86,-87
-77,-61,-53,-64,-89,-88
-85,-57,-58,-100,-91,-88
-79,-57,-52,-100,-91,-90
-86,-63,-57,-60,-89,-89
-77,-62,-57,-63,-91,-86
-89,-56,-52,-100,-91,-87
-75,-51,-60,-63,-88,-87
-73,-65,-55,-57,-89,-85
-69,-65,-52,-58,-91,-87
-81,-62,-64,-63,-91,-86
-71,-65,-54,-59,-92,-88
-70,-57,-48,-100,-91,-87
-71,-65,-53,-62,-92,-87
-78,-64,-54,-60,-92,-86
-76,-57,-58,-100,-90,-88
-75,-57,-50,-100,-93,-82
-80,-51,-59,-61,-89,-86
-82,-57,-51,-100,-90,-90
-84,-62,-57,-61,-91,-86
-77,-63,-54,-64,-89,-88
-79,-62,-55,-63,-89,-89
-76,-64,-58,-65,-91,-89
-71,-62,-54,-61,-91,-86
-76,-57,-47,-100,-92,-85
-77,-62,-61,-61,-91,-85
-80,-62,-57,-60,-91,-86
-75,-59,-58,-100,-90,-85
-78,-62,-58,-61,-91,-86
-73,-65,-52,-58,-88,-87
-75,-57,-56,-100,-94,-88
-77,-59,-55,-64,-89,-88
-69,-56,-53,-100,-88,-87
-81,-54,-62,-63,-93,-86
-77,-62,-58,-63,-91,-86
-87,-62,-56,-64,-91,-86
-76,-62,-56,-62,-92,-87
-72,-65,-54,-100,-90,-87
-74,-63,-56,-61,-87,-89
-81,-62,-56,-62,-90,-86
-68,-57,-54,-100,-91,-87
-73,-57,-54,-100,-91,-88
-76,-63,-54,-61,-91,-84
-75,-57,-49,-100,-92,-87
-73,-65,-55,-59,-92,-87
-80,-68,-53,-100,-92,-87
-73,-55,-54,-100,-91,-86
-70,-62,-57,-100,-91,-86
-75,-68,-55,-60,-91,-86
-75,-56,-54,-100,-91,-88
-79,-55,-55,-100,-94,-88
-78,-62,-57,-60,-91,-86
-73,-65,-53,-59,-92,-84
-85,-64,-56,-63,-91,-86
-70,-62,-52,-59,-92,-87
-72,-65,-56,-60,-91,-87
-80,-57,-57,-100,-92,-90
-76,-63,-53,-64,-89,-88
-81,-62,-56,-62,-91,-85
-80,-62,-53,-100,-91,-87
-72,-65,-55,-59,-90,-89
-73,-64,-52,-61,-92,-90
-72,-65,-52,-58,-96,-89
-72,-65,-53,-58,-92,-89
-74,-65,-58,-59,-92,-87
-72,-46,-53,-100,-88,-88
-77,-57,-59,-100,-91,-89
-84,-53,-59,-62,-90,-86
-71,-55,-55,-100,-88,-84
-83,-55,-58,-61,-91,-86
-70,-65,-52,-57,-92,-87
-78,-53,-59,-62,-91,-86
-78,-62,-64,-66,-91,-86
-74,-63,-55,-61,-93,-87
-71,-65,-53,-58,-92,-85
-77,-62,-57,-64,-88,-86
-85,-57,-49,-100,-91,-88
-82,-57,-55,-100,-95,-86
-82,-62,-54,-100,-89,-88
-100,-57,-55,-100,-91,-88
