Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-100,-77,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-79,-100,-52,-100,-100,-100,-90,-100,-100,-100,-100,2
-100,-79,-88,-51,-100,-100,-100,-85,-100,-100,-100,-100,2
-100,-77,-94,-54,-100,-100,-100,-100,-91,-100,-92,-100,2
-100,-83,-100,-53,-100,-100,-100,-88,-100,-100,-100,-100,2
-100,-74,-100,-56,-100,-100,-100,-88,-100,-100,-100,-100,2
-100,-77,-100,-54,-100,-100,-100,-89,-100,-100,-100,-100,2
-100,-86,-100,-55,-100,-100,-100,-90,-100,-100,-100,-100,2
-90,-81,-100,-53,-100,-100,-100,-89,-94,-100,-100,-100,2
-100,-77,-91,-56,-100,-100,-100,-100,-95,-100,-100,-100,2
-100,-72,-100,-52,-100,-100,-100,-89,-91,-100,-100,-100,2
-100,-74,-92,-57,-100,-100,-100,-100,-93,-100,-100,-100,2
-100,-81,-92,-55,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-74,-100,-57,-100,-100,-100,-88,-93,-100,-100,-100,2
-100,-73,-93,-52,-100,-100,-100,-100,-90,-100,-100,-100,2
-100,-76,-100,-55,-100,-100,-100,-86,-100,-100,-100,-100,2
-100,-74,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-76,-100,-57,-100,-100,-100,-88,-90,-100,-92,-100,2
-100,-80,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-71,-100,-53,-100,-100,-100,-84,-100,-100,-100,-100,2
-100,-100,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-100,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-80,-100,-56,-100,-100,-100,-84,-100,-100,-100,-100,2
-100,-80,-100,-53,-100,-100,-100,-100,-92,-100,-100,-100,2
-90,-79,-100,-52,-100,-100,-100,-100,-91,-100,-100,-100,2
-100,-82,-100,-55,-100,-100,-100,-86,-95,-100,-100,-100,2
-100,-76,-90,-51,-100,-100,-100,-84,-87,-100,-100,-100,2
-100,-76,-100,-55,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-77,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-85,-100,-58,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-73,-100,-55,-100,-100,-100,-87,-100,-100,-100,-100,2
-100,-100,-100,-53,-100,-100,-100,-84,-100,-100,-100,-100,2
-100,-81,-100,-54,-100,-100,-100,-90,-100,-100,-100,-100,2
-100,-71,-100,-53,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-86,-100,-54,-100,-100,-100,-100,-91,-100,-100,-100,2
-100,-84,-100,-57,-100,-100,-100,-87,-91,-100,-100,-100,2
-100,-75,-90,-56,-100,-100,-100,-87,-91,-100,-100,-100,2
-100,-74,-100,-54,-100,-100,-100,-89,-100,-100,-100,-100,2
-100,-74,-100,-60,-100,-100,-100,-90,-100,-100,-100,-100,2
-100,-72,-100,-56,-100,-100,-100,-89,-94,-100,-93,-100,2
-100,-74,-100,-56,-100,-100,-100,-85,-89,-100,-100,-100,2
-89,-78,-83,-53,-100,-100,-100,-100,-90,-100,-100,-100,2
-100,-73,-100,-54,-100,-100,-100,-89,-88,-100,-100,-100,2
-92,-79,-100,-54,-100,-100,-100,-100,-90,-100,-92,-100,2
-100,-73,-100,-55,-100,-100,-100,-87,-94,-100,-100,-100,2
-92,-84,-100,-53,-100,-100,-100,-100,-92,-100,-100,-100,2
-88,-81,-100,-52,-100,-100,-100,-100,-100,-100,-100,-100,2
-100,-87,-100,-56,-100,-100,-100,-94,-100,-100,-100,-100,2
-100,-82,-100,-51,-100,-100,-100,-90,-90,-100,-100,-100,2
-100,-75,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,2
-87,-71,-91,-56,-100,-100,-100,-100,-87,-100,-100,-100,2
-90,-74,-100,-53,-100,-100,-100,-85,-88,-100,-91,-100,2
-100,-76,-100,-54,-57,-100,-100,-88,-94,-100,-100,-100,2
-88,-78,-89,-56,-57,-100,-100,-100,-91,-100,-81,-100,2
-86,-81,-100,-58,-59,-100,-100,-100,-89,-100,-100,-100,2
-100,-74,-100,-58,-58,-100,-100,-90,-100,-100,-100,-100,2
-91,-75,-100,-58,-59,-100,-100,-85,-90,-100,-100,-100,2
-100,-71,-100,-52,-56,-100,-100,-89,-89,-100,-100,-100,2
-85,-73,-87,-58,-65,-100,-100,-85,-87,-100,-89,-100,2
-100,-75,-100,-55,-56,-100,-100,-100,-100,-100,-100,-100,2
-100,-74,-100,-56,-56,-100,-100,-88,-100,-100,-100,-100,2
-100,-74,-100,-59,-54,-100,-100,-88,-94,-100,-100,-100,2
-92,-88,-100,-57,-57,-100,-100,-100,-91,-100,-100,-100,2
-92,-72,-94,-55,-58,-100,-100,-100,-94,-100,-89,-100,2
-93,-76,-91,-59,-59,-100,-100,-100,-91,-100,-90,-100,2
-100,-75,-90,-67,-55,-100,-100,-90,-90,-100,-92,-100,2
-100,-77,-100,-59,-55,-100,-100,-88,-91,-100,-85,-100,2
-100,-74,-100,-57,-55,-100,-100,-88,-100,-100,-100,-100,2
-88,-77,-88,-55,-57,-100,-100,-85,-100,-100,-100,-100,2
-100,-72,-100,-59,-58,-100,-100,-87,-100,-100,-100,-100,2
-100,-82,-100,-58,-65,-100,-100,-89,-100,-100,-100,-100,2
-100,-73,-100,-54,-58,-100,-100,-100,-100,-100,-100,-100,2
-100,-78,-100,-54,-56,-100,-100,-88,-100,-100,-100,-100,2
-100,-72,-93,-57,-57,-100,-100,-100,-90,-100,-100,-100,2
-100,-79,-100,-53,-55,-100,-100,-85,-100,-100,-100,-100,2
-90,-100,-90,-52,-61,-100,-100,-88,-92,-100,-100,-100,2
-100,-73,-100,-53,-57,-100,-100,-89,-100,-100,-100,-100,2
-92,-82,-91,-54,-62,-100,-100,-100,-89,-100,-85,-100,2
-100,-78,-100,-55,-60,-100,-100,-100,-95,-93,-100,-100,2
-100,-74,-100,-54,-57,-100,-100,-90,-100,-100,-100,-100,2
-93,-76,-100,-55,-57,-100,-100,-100,-93,-100,-100,-100,2
-100,-70,-100,-52,-57,-100,-100,-84,-89,-100,-100,-100,2
-100,-74,-100,-58,-58,-100,-100,-100,-93,-100,-100,-100,2
-100,-77,-100,-59,-57,-100,-100,-89,-100,-92,-100,-100,2
-89,-100,-92,-58,-63,-100,-100,-91,-90,-100,-88,-100,2
-100,-73,-100,-53,-58,-100,-100,-91,-100,-100,-100,-100,2
-100,-75,-100,-54,-56,-100,-100,-100,-100,-100,-100,-100,2
-100,-80,-100,-55,-59,-100,-100,-100,-100,-100,-100,-100,2
-100,-68,-100,-54,-57,-100,-100,-87,-100,-100,-100,-100,2
-100,-75,-100,-55,-56,-100,-100,-87,-92,-100,-100,-100,2
-100,-82,-93,-55,-55,-100,-100,-100,-100,-100,-100,-100,2
-100,-74,-100,-53,-57,-100,-100,-84,-88,-100,-100,-100,2
-90,-76,-100,-51,-58,-100,-100,-100,-92,-100,-100,-100,2
-100,-74,-100,-50,-56,-100,-100,-85,-90,-100,-100,-100,2
-100,-73,-100,-57,-58,-100,-100,-100,-100,-100,-100,-100,2
-100,-80,-100,-57,-57,-100,-100,-90,-92,-100,-100,-100,2
-92,-72,-100,-54,-56,-100,-100,-100,-89,-100,-100,-100,2
-100,-100,-100,-63,-56,-100,-100,-85,-100,-100,-100,-100,2
-100,-75,-100,-60,-56,-100,-100,-82,-87,-100,-100,-100,2
-82,-72,-89,-57,-57,-100,-100,-100,-89,-100,-100,-100,2
-88,-82,-100,-50,-55,-100,-100,-100,-100,-100,-100,-100,2
-100,-77,-100,-55,-55,-100,-100,-92,-100,-100,-100,-100,2
-100,-73,-90,-57,-55,-100,-100,-100,-100,-100,-91,-100,2
-91,-69,-100,-54,-62,-100,-100,-90,-90,-100,-100,-100,2
-90,-79,-100,-56,-59,-100,-100,-100,-100,-100,-100,-100,2
-100,-71,-100,-55,-55,-100,-100,-84,-88,-100,-100,-100,2
-87,-74,-100,-57,-58,-100,-100,-100,-87,-100,-100,-100,2
-100,-69,-100,-53,-56,-100,-100,-87,-88,-100,-84,-100,2
-100,-75,-100,-59,-58,-100,-100,-92,-100,-100,-100,-100,2
-100,-71,-100,-57,-56,-100,-100,-84,-100,-100,-100,-100,2
-100,-72,-100,-58,-59,-100,-100,-100,-86,-100,-100,-100,2
-100,-70,-100,-57,-62,-100,-100,-86,-100,-100,-100,-100,2
-100,-70,-89,-56,-56,-100,-100,-88,-91,-100,-100,-100,2
-100,-75,-100,-56,-57,-100,-100,-88,-94,-100,-100,-100,2
-100,-69,-92,-57,-57,-100,-100,-100,-90,-100,-100,-100,2
-100,-73,-100,-54,-55,-100,-100,-100,-100,-100,-100,-100,2
-100,-70,-100,-53,-57,-100,-100,-87,-100,-100,-100,-100,2
-91,-73,-90,-58,-58,-100,-100,-100,-92,-100,-100,-100,2
-100,-72,-90,-61,-54,-100,-100,-87,-89,-100,-88,-100,2
-100,-74,-100,-63,-57,-100,-100,-88,-92,-93,-83,-100,2
-100,-75,-100,-57,-56,-100,-100,-100,-91,-93,-100,-100,2
-90,-75,-100,-57,-58,-100,-100,-100,-88,-100,-100,-100,2
-100,-70,-100,-57,-57,-100,-100,-89,-93,-100,-100,-100,2
-89,-75,-81,-56,-57,-100,-100,-100,-90,-95,-90,-100,2
-88,-73,-88,-61,-57,-100,-100,-100,-87,-100,-87,-100,2
-93,-73,-100,-59,-57,-100,-100,-100,-95,-100,-100,-100,2
-100,-76,-100,-54,-58,-100,-100,-84,-100,-100,-100,-100,2
-100,-72,-100,-57,-56,-100,-100,-100,-100,-100,-100,-100,2
-100,-67,-100,-58,-60,-100,-100,-100,-90,-100,-100,-100,2
-100,-72,-100,-55,-57,-100,-100,-87,-92,-100,-100,-100,2
-100,-70,-100,-57,-60,-100,-100,-100,-91,-100,-93,-100,2
-100,-77,-87,-58,-55,-100,-100,-84,-87,-100,-87,-100,2
-100,-71,-100,-55,-60,-100,-100,-100,-90,-100,-100,-100,2
-100,-77,-100,-57,-60,-100,-100,-100,-100,-100,-100,-100,2
-100,-73,-100,-67,-59,-100,-100,-100,-100,-100,-100,-100,2
-100,-73,-100,-64,-63,-100,-100,-86,-100,-100,-100,-100,2
-100,-75,-100,-58,-57,-100,-100,-100,-100,-100,-100,-100,2
-100,-73,-91,-65,-56,-100,-100,-100,-95,-100,-100,-100,2
-100,-71,-100,-56,-55,-100,-100,-100,-91,-100,-100,-100,2
-81,-70,-88,-56,-56,-100,-100,-100,-87,-100,-100,-100,2
-100,-76,-89,-56,-57,-100,-100,-100,-100,-100,-100,-100,2
-100,-77,-100,-65,-55,-100,-100,-100,-100,-100,-100,-100,2
-100,-69,-100,-53,-61,-100,-100,-100,-100,-100,-100,-100,2
-92,-72,-100,-57,-57,-100,-100,-100,-90,-100,-91,-100,2
-100,-74,-100,-55,-53,-100,-100,-90,-92,-100,-89,-100,2
-100,-75,-100,-59,-58,-100,-100,-90,-100,-100,-100,-100,2
-100,-77,-100,-59,-58,-100,-100,-89,-90,-100,-91,-100,2
