,UoM_Wireless1,UoM_Wireless6,Chamidi11,FGS_Office1,NipunaM6,Becon_Wireless1,Sandali1,UoM_Wireless11,eduroam1,eduroam6,IsuruAp6,eduroam11,Jungle Book10,PROLINK_H5004NK_8766E11,UNIC-wifi11,id
65,-88,-100,-67,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-87,2
66,-89,-100,-71,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
67,-91,-100,-72,-90,-62,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
68,-93,-100,-70,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
69,-92,-100,-71,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
70,-93,-100,-70,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
71,-93,-100,-70,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
72,-91,-100,-74,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
73,-93,-100,-75,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
74,-94,-100,-67,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
75,-91,-100,-70,-90,-67,-93,-59,-100,-88,-100,,-100,-100,-100,-88,2
76,-89,-100,-70,-90,-61,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
77,-90,-100,-74,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-86,2
78,-93,-100,-71,-90,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
79,-89,-100,-73,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-86,2
80,-90,-100,-66,-90,-62,-93,-59,-100,-89,-100,,-100,-100,-100,-88,2
81,-93,-100,-70,-89,-66,-86,-59,-100,-87,-100,,-100,-100,-100,-88,2
82,-91,-100,-72,-90,-76,-86,-59,-100,-93,-100,,-100,-100,-100,-88,2
83,-92,-100,-69,-90,-66,-90,-59,-100,-89,-100,,-100,-100,-100,-88,2
84,-92,-100,-65,-90,-63,-86,-59,-100,-87,-100,,-100,-100,-100,-88,2
85,-89,-100,-67,-90,-65,-86,-59,-100,-86,-100,,-100,-100,-100,-88,2
86,-93,-100,-70,-90,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
87,-93,-100,-82,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
88,-93,-100,-78,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-89,2
89,-88,-100,-77,-90,-65,-89,-59,-100,-89,-100,,-100,-100,-100,-88,2
90,-88,-100,-79,-90,-63,-86,-59,-100,-85,-100,,-100,-100,-100,-88,2
91,-88,-100,-72,-90,-64,-87,-59,-100,-89,-100,,-100,-100,-100,-88,2
92,-92,-100,-65,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
93,-93,-100,-66,-90,-68,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
94,-89,-100,-72,-90,-73,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
95,-90,-100,-81,-90,-67,-86,-59,-100,-89,-100,,-100,-100,-100,-90,2
96,-93,-100,-80,-90,-66,-86,-59,-100,-89,-100,,-100,-100,-100,-87,2
97,-90,-100,-68,-90,-61,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
98,-93,-100,-70,-90,-63,-86,-59,-100,-89,-100,,-100,-100,-100,-87,2
99,-93,-100,-73,-90,-64,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
100,-93,-100,-74,-90,-65,-88,-59,-100,-89,-100,,-100,-100,-100,-86,2
101,-94,-100,-70,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
102,-91,-100,-70,-90,-65,-86,-59,-100,-89,-100,,-100,-100,-100,-88,2
