,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
0,-90,-76,-91,-54,-50,-100,-100,-87,-91,-90,-87,-100,2
1,-89,-72,-91,-53,-46,-100,-100,-88,-88,-90,-87,-100,2
2,-89,-74,-91,-53,-53,-100,-100,-89,-93,-90,-87,-100,2
3,-89,-76,-91,-51,-58,-100,-100,-83,-88,-90,-87,-100,2
4,-88,-74,-91,-52,-54,-100,-100,-87,-89,-90,-87,-100,2
5,-89,-74,-91,-51,-52,-100,-100,-87,-91,-90,-92,-100,2
6,-89,-75,-91,-54,-53,-100,-100,-87,-88,-90,-87,-100,2
7,-89,-85,-91,-52,-57,-100,-100,-84,-91,-90,-87,-100,2
8,-89,-73,-91,-54,-55,-100,-100,-86,-91,-90,-87,-100,2
9,-89,-76,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
10,-89,-79,-91,-54,-59,-100,-100,-87,-91,-90,-87,-100,2
11,-89,-77,-91,-50,-54,-100,-100,-89,-91,-90,-87,-100,2
12,-92,-79,-91,-55,-55,-100,-100,-87,-94,-90,-87,-100,2
13,-89,-80,-91,-52,-58,-100,-100,-87,-94,-90,-89,-100,2
14,-89,-86,-91,-54,-57,-100,-100,-89,-91,-90,-87,-100,2
15,-89,-77,-91,-54,-57,-100,-100,-88,-93,-90,-87,-100,2
16,-89,-80,-92,-56,-67,-100,-100,-87,-92,-90,-87,-100,2
17,-89,-77,-91,-52,-56,-100,-100,-87,-93,-90,-87,-100,2
18,-92,-74,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
19,-89,-73,-91,-55,-56,-100,-100,-85,-87,-90,-87,-100,2
20,-89,-89,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
21,-92,-80,-91,-53,-68,-100,-100,-87,-92,-90,-87,-100,2
22,-89,-84,-91,-50,-56,-100,-100,-89,-89,-90,-87,-100,2
23,-81,-72,-91,-54,-60,-100,-100,-87,-90,-90,-87,-100,2
24,-89,-100,-91,-54,-56,-100,-100,-85,-87,-90,-87,-100,2
25,-89,-80,-91,-53,-62,-100,-100,-87,-91,-90,-87,-100,2
26,-89,-78,-91,-54,-56,-100,-100,-86,-89,-90,-87,-100,2
27,-89,-100,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
28,-89,-79,-90,-53,-56,-100,-100,-87,-89,-90,-87,-100,2
29,-89,-72,-91,-51,-56,-100,-100,-85,-91,-90,-87,-100,2
30,-89,-77,-91,-53,-56,-100,-100,-87,-92,-90,-87,-100,2
31,-92,-73,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
32,-89,-82,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
33,-89,-79,-91,-54,-56,-100,-100,-89,-91,-90,-87,-100,2
34,-89,-85,-91,-53,-56,-100,-100,-86,-91,-90,-87,-100,2
35,-89,-81,-91,-54,-56,-100,-100,-87,-91,-90,-87,-100,2
36,-90,-75,-91,-52,-56,-100,-100,-87,-91,-90,-89,-100,2
37,-89,-77,-91,-52,-56,-100,-100,-88,-90,-90,-89,-100,2
38,-89,-86,-91,-51,-56,-100,-100,-88,-90,-90,-87,-100,2
39,-89,-72,-91,-52,-56,-100,-100,-86,-91,-90,-87,-100,2
40,-91,-75,-87,-55,-56,-100,-100,-87,-89,-90,-87,-100,2
41,-89,-75,-91,-52,-56,-100,-100,-86,-91,-90,-87,-100,2
42,-89,-72,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
43,-84,-83,-91,-52,-56,-100,-100,-87,-84,-90,-87,-100,2
44,-89,-75,-91,-50,-56,-100,-100,-84,-91,-90,-87,-100,2
45,-89,-100,-92,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
46,-89,-76,-91,-51,-56,-100,-100,-85,-89,-90,-87,-100,2
47,-89,-84,-91,-47,-56,-100,-100,-87,-91,-90,-87,-100,2
48,-89,-85,-91,-49,-56,-100,-100,-87,-91,-90,-87,-100,2
49,-89,-76,-91,-47,-56,-100,-100,-85,-92,-90,-89,-100,2
50,-89,-81,-91,-48,-56,-100,-100,-87,-92,-90,-94,-100,2
51,-89,-70,-91,-48,-56,-100,-100,-87,-91,-90,-87,-100,2
52,-89,-79,-91,-45,-56,-100,-100,-84,-91,-90,-87,-100,2
53,-89,-77,-91,-47,-56,-100,-100,-87,-91,-90,-87,-100,2
54,-89,-78,-91,-51,-56,-100,-100,-88,-95,-90,-87,-100,2
55,-89,-88,-91,-49,-56,-100,-100,-87,-91,-90,-87,-100,2
56,-89,-79,-89,-49,-56,-100,-100,-87,-88,-90,-88,-100,2
57,-89,-74,-91,-48,-56,-100,-100,-82,-87,-90,-87,-100,2
58,-89,-80,-91,-48,-56,-100,-100,-87,-91,-90,-87,-100,2
59,-89,-77,-91,-49,-56,-100,-100,-87,-92,-90,-87,-100,2
60,-89,-85,-91,-48,-56,-100,-100,-88,-91,-90,-87,-100,2
61,-89,-80,-91,-48,-56,-100,-100,-88,-93,-90,-87,-100,2
62,-89,-71,-91,-51,-56,-100,-100,-87,-97,-90,-87,-100,2
63,-89,-79,-91,-51,-56,-100,-100,-87,-91,-90,-87,-100,2
64,-89,-75,-91,-49,-56,-100,-100,-87,-92,-90,-87,-100,2
65,-89,-76,-91,-56,-56,-100,-100,-89,-92,-90,-92,-100,2
66,-89,-77,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
67,-89,-74,-91,-55,-56,-100,-100,-89,-91,-90,-87,-100,2
68,-89,-77,-91,-51,-56,-100,-100,-87,-92,-90,-87,-100,2
69,-89,-75,-91,-53,-56,-100,-100,-87,-89,-90,-87,-100,2
70,-89,-76,-91,-52,-56,-100,-100,-88,-90,-90,-87,-100,2
71,-89,-76,-92,-58,-56,-100,-100,-87,-90,-90,-87,-100,2
72,-89,-83,-91,-52,-56,-100,-100,-85,-91,-90,-87,-100,2
73,-89,-77,-91,-52,-56,-100,-100,-88,-89,-90,-87,-100,2
74,-89,-75,-91,-50,-56,-100,-100,-82,-93,-90,-90,-100,2
75,-92,-73,-91,-54,-56,-100,-100,-88,-91,-90,-87,-100,2
76,-89,-82,-88,-52,-56,-100,-100,-87,-87,-90,-80,-100,2
77,-89,-76,-91,-51,-56,-100,-100,-85,-90,-90,-87,-100,2
78,-89,-74,-93,-54,-56,-100,-100,-87,-91,-90,-87,-100,2
79,-89,-73,-91,-53,-56,-100,-100,-84,-87,-90,-87,-100,2
80,-89,-75,-91,-51,-56,-100,-100,-85,-91,-90,-87,-100,2
81,-89,-77,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
82,-89,-79,-91,-52,-56,-100,-100,-90,-91,-90,-87,-100,2
83,-89,-79,-88,-51,-56,-100,-100,-85,-91,-90,-87,-100,2
84,-89,-77,-94,-54,-56,-100,-100,-87,-91,-90,-92,-100,2
85,-89,-83,-91,-53,-56,-100,-100,-88,-91,-90,-87,-100,2
86,-89,-74,-91,-56,-56,-100,-100,-88,-91,-90,-87,-100,2
87,-89,-77,-91,-54,-56,-100,-100,-89,-91,-90,-87,-100,2
88,-89,-86,-91,-55,-56,-100,-100,-90,-91,-90,-87,-100,2
89,-90,-81,-91,-53,-56,-100,-100,-89,-94,-90,-87,-100,2
90,-89,-77,-91,-56,-56,-100,-100,-87,-95,-90,-87,-100,2
91,-89,-72,-91,-52,-56,-100,-100,-89,-91,-90,-87,-100,2
92,-89,-74,-92,-57,-56,-100,-100,-87,-93,-90,-87,-100,2
93,-89,-81,-92,-55,-56,-100,-100,-87,-91,-90,-87,-100,2
94,-89,-74,-91,-57,-56,-100,-100,-88,-93,-90,-87,-100,2
95,-89,-73,-93,-52,-56,-100,-100,-87,-90,-90,-87,-100,2
96,-89,-76,-91,-55,-56,-100,-100,-86,-91,-90,-87,-100,2
97,-89,-74,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
98,-89,-76,-91,-57,-56,-100,-100,-88,-90,-90,-92,-100,2
99,-89,-80,-91,-55,-56,-100,-100,-87,-91,-90,-87,-100,2
100,-89,-71,-91,-53,-56,-100,-100,-84,-91,-90,-87,-100,2
101,-89,-100,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
102,-89,-100,-91,-55,-56,-100,-100,-87,-91,-90,-87,-100,2
103,-89,-80,-91,-56,-56,-100,-100,-84,-91,-90,-87,-100,2
104,-89,-80,-91,-53,-56,-100,-100,-87,-92,-90,-87,-100,2
105,-90,-79,-91,-52,-56,-100,-100,-87,-91,-90,-87,-100,2
106,-89,-82,-91,-55,-56,-100,-100,-86,-95,-90,-87,-100,2
107,-89,-76,-90,-51,-56,-100,-100,-84,-87,-90,-87,-100,2
108,-89,-76,-91,-55,-56,-100,-100,-87,-91,-90,-87,-100,2
109,-89,-77,-91,-54,-56,-100,-100,-87,-91,-90,-87,-100,2
110,-89,-85,-91,-58,-56,-100,-100,-87,-91,-90,-87,-100,2
111,-89,-73,-91,-55,-56,-100,-100,-87,-91,-90,-87,-100,2
112,-89,-100,-91,-53,-56,-100,-100,-84,-91,-90,-87,-100,2
113,-89,-81,-91,-54,-56,-100,-100,-90,-91,-90,-87,-100,2
114,-89,-71,-91,-53,-56,-100,-100,-87,-91,-90,-87,-100,2
115,-89,-86,-91,-54,-56,-100,-100,-87,-91,-90,-87,-100,2
116,-89,-84,-91,-57,-56,-100,-100,-87,-91,-90,-87,-100,2
117,-89,-75,-90,-56,-56,-100,-100,-87,-91,-90,-87,-100,2
118,-89,-74,-91,-54,-56,-100,-100,-89,-91,-90,-87,-100,2
119,-89,-74,-91,-60,-56,-100,-100,-90,-91,-90,-87,-100,2
120,-89,-72,-91,-56,-56,-100,-100,-89,-94,-90,-93,-100,2
121,-89,-74,-91,-56,-56,-100,-100,-85,-89,-90,-87,-100,2
122,-89,-78,-83,-53,-56,-100,-100,-87,-90,-90,-87,-100,2
123,-89,-73,-91,-54,-56,-100,-100,-89,-88,-90,-87,-100,2
124,-92,-79,-91,-54,-56,-100,-100,-87,-90,-90,-92,-100,2
125,-89,-73,-91,-55,-56,-100,-100,-87,-94,-90,-87,-100,2
