Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-100,-72,-100,-60,-71,-100,-100,-89,-100,-93,-100,-100,1
-89,-68,-90,-54,-62,-100,-100,-100,-91,-91,-90,-100,1
-91,-75,-89,-56,-61,-100,-100,-88,-91,-100,-91,-100,1
-89,-75,-83,-55,-58,-100,-100,-100,-100,-100,-100,-100,1
-89,-73,-88,-57,-65,-100,-100,-100,-87,-100,-91,-100,1
-100,-72,-100,-55,-66,-100,-100,-100,-100,-100,-100,-100,1
-100,-73,-100,-57,-62,-100,-100,-87,-91,-100,-100,-100,1
-100,-71,-100,-56,-63,-100,-100,-100,-100,-100,-100,-100,1
-100,-70,-100,-56,-64,-100,-63,-100,-91,-100,-100,-100,1
-100,-68,-100,-55,-61,-100,-63,-100,-100,-100,-100,-100,1
-100,-69,-100,-55,-61,-100,-63,-85,-91,-100,-100,-100,1
-100,-72,-100,-56,-61,-100,-63,-87,-90,-100,-100,-100,1
-100,-73,-100,-56,-63,-100,-60,-86,-100,-100,-100,-100,1
-100,-71,-100,-62,-62,-100,-61,-100,-100,-100,-100,-100,1
-100,-70,-100,-57,-65,-100,-61,-90,-100,-100,-100,-100,1
-90,-75,-90,-55,-64,-100,-60,-100,-88,-100,-90,-100,1
-100,-74,-100,-56,-63,-100,-61,-100,-100,-100,-100,-100,1
-100,-75,-100,-57,-57,-100,-62,-87,-93,-100,-90,-100,1
-100,-100,-100,-55,-62,-100,-61,-87,-86,-100,-100,-100,1
-100,-78,-84,-56,-62,-100,-63,-100,-100,-100,-100,-100,1
-100,-72,-100,-57,-61,-100,-61,-100,-89,-100,-83,-100,1
-100,-74,-100,-56,-63,-100,-60,-100,-100,-100,-100,-100,1
-100,-78,-91,-56,-63,-100,-61,-100,-88,-100,-100,-100,1
-100,-82,-100,-56,-63,-100,-61,-87,-100,-100,-100,-100,1
-100,-75,-100,-58,-63,-100,-61,-100,-100,-95,-100,-100,1
-100,-75,-100,-55,-62,-100,-61,-83,-87,-100,-81,-100,1
-90,-73,-94,-56,-61,-100,-61,-100,-93,-100,-85,-100,1
-100,-77,-93,-55,-65,-100,-62,-100,-92,-100,-84,-100,1
-91,-77,-92,-55,-66,-100,-63,-100,-100,-100,-100,-100,1
-89,-72,-100,-54,-63,-100,-61,-86,-91,-100,-88,-100,1
-91,-75,-100,-56,-63,-100,-64,-100,-91,-100,-90,-100,1
-100,-79,-91,-56,-62,-100,-63,-100,-91,-100,-89,-100,1
-100,-74,-100,-55,-62,-100,-61,-100,-91,-100,-100,-100,1
-100,-78,-100,-54,-64,-100,-60,-100,-92,-91,-89,-100,1
-100,-74,-89,-53,-63,-100,-60,-100,-100,-83,-100,-100,1
-100,-75,-100,-53,-63,-100,-61,-100,-100,-100,-100,-100,1
-100,-75,-100,-55,-64,-100,-62,-100,-100,-100,-100,-100,1
-100,-74,-100,-52,-62,-100,-63,-100,-90,-94,-93,-100,1
-100,-75,-89,-56,-63,-100,-72,-100,-90,-100,-100,-100,1
-93,-76,-100,-57,-64,-100,-61,-100,-100,-100,-100,-100,1
-100,-78,-100,-54,-62,-100,-63,-100,-100,-100,-100,-100,1
-100,-75,-100,-55,-68,-100,-60,-100,-100,-100,-100,-100,1
-100,-75,-100,-56,-65,-100,-61,-100,-89,-100,-100,-100,1
-100,-75,-100,-55,-64,-100,-63,-100,-100,-100,-100,-100,1
-100,-100,-100,-56,-62,-100,-62,-100,-92,-100,-93,-100,1
-100,-70,-100,-55,-64,-100,-61,-100,-100,-100,-100,-100,1
-100,-72,-100,-55,-62,-100,-62,-88,-93,-100,-100,-100,1
-100,-78,-100,-54,-60,-100,-60,-87,-100,-100,-100,-100,1
-100,-78,-100,-55,-63,-100,-100,-100,-100,-94,-89,-100,1
-100,-77,-86,-55,-63,-100,-60,-85,-85,-100,-88,-100,1
-91,-80,-91,-54,-62,-100,-60,-100,-92,-92,-88,-100,1
-100,-77,-100,-54,-62,-100,-61,-100,-100,-100,-100,-100,1
-100,-75,-87,-54,-60,-100,-59,-100,-87,-100,-87,-100,1
-100,-76,-100,-53,-61,-100,-61,-100,-100,-100,-100,-100,1
-100,-77,-100,-54,-64,-100,-58,-100,-100,-100,-100,-100,1
-100,-77,-100,-54,-64,-100,-62,-100,-100,-100,-100,-100,1
-100,-74,-100,-56,-58,-100,-58,-100,-100,-95,-100,-100,1
-100,-77,-100,-55,-61,-100,-61,-100,-90,-100,-100,-100,1
-100,-80,-100,-57,-62,-100,-61,-100,-100,-100,-100,-100,1
-100,-75,-100,-57,-62,-100,-62,-100,-91,-100,-100,-100,1
-100,-79,-100,-57,-62,-100,-62,-100,-100,-100,-100,-100,1
-100,-79,-100,-58,-61,-100,-62,-100,-100,-100,-100,-100,1
-100,-78,-100,-56,-61,-100,-61,-100,-100,-95,-100,-100,1
-100,-83,-100,-55,-63,-100,-60,-100,-100,-94,-100,-100,1
-100,-76,-100,-57,-61,-100,-61,-87,-100,-100,-100,-100,1
-100,-78,-100,-58,-60,-100,-62,-100,-100,-100,-100,-100,1
-100,-80,-100,-56,-60,-100,-63,-100,-100,-100,-100,-100,1
-100,-75,-100,-56,-64,-100,-60,-87,-100,-91,-100,-100,1
-85,-82,-86,-56,-100,-100,-60,-100,-85,-100,-79,-100,1
-89,-71,-100,-63,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-75,-100,-57,-100,-100,-59,-100,-88,-100,-100,-100,1
-100,-78,-100,-64,-100,-100,-66,-100,-100,-100,-100,-100,1
-100,-85,-100,-57,-100,-100,-64,-87,-100,-100,-100,-100,1
-89,-78,-90,-58,-100,-100,-60,-100,-89,-93,-80,-100,1
-89,-75,-87,-57,-100,-100,-63,-100,-100,-100,-100,-100,1
-100,-78,-100,-57,-100,-100,-60,-100,-100,-100,-100,-100,1
-100,-76,-100,-57,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-74,-100,-54,-100,-100,-61,-100,-100,-100,-100,-100,1
-89,-81,-89,-57,-100,-100,-60,-100,-88,-100,-89,-100,1
-100,-79,-100,-57,-100,-100,-62,-100,-100,-100,-92,-100,1
-100,-71,-100,-54,-100,-100,-61,-100,-100,-94,-91,-100,1
-100,-77,-100,-54,-100,-100,-61,-100,-100,-100,-100,-100,1
-100,-78,-90,-55,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-77,-100,-58,-100,-100,-62,-100,-100,-94,-100,-100,1
-91,-80,-91,-57,-100,-100,-60,-100,-91,-100,-91,-100,1
-100,-83,-100,-57,-100,-100,-61,-100,-90,-100,-100,-100,1
-100,-81,-100,-57,-100,-100,-63,-84,-88,-100,-89,-100,1
-100,-79,-100,-56,-100,-100,-62,-88,-90,-100,-100,-100,1
-100,-80,-90,-57,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-100,-100,-58,-100,-100,-62,-88,-89,-100,-100,-100,1
-100,-77,-92,-58,-100,-100,-62,-100,-94,-100,-100,-100,1
-100,-84,-91,-57,-100,-100,-61,-100,-91,-100,-90,-100,1
-100,-77,-100,-61,-100,-100,-61,-85,-100,-100,-91,-100,1
-100,-78,-100,-59,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-78,-93,-57,-100,-100,-62,-100,-100,-100,-94,-100,1
-100,-82,-100,-56,-100,-100,-61,-100,-87,-100,-100,-100,1
-100,-71,-100,-57,-100,-100,-62,-100,-100,-92,-100,-100,1
-100,-78,-100,-58,-100,-100,-61,-100,-91,-100,-100,-100,1
-100,-78,-100,-58,-100,-100,-65,-100,-89,-100,-89,-100,1
-100,-77,-100,-58,-100,-100,-63,-100,-91,-100,-100,-100,1
-90,-77,-89,-58,-100,-100,-60,-100,-91,-100,-91,-100,1
-100,-76,-100,-57,-100,-100,-62,-100,-100,-91,-91,-100,1
-100,-79,-100,-60,-100,-100,-68,-100,-92,-100,-93,-100,1
-100,-77,-100,-60,-100,-100,-62,-100,-90,-100,-100,-100,1
-92,-85,-100,-62,-100,-100,-62,-100,-100,-100,-100,-100,1
-88,-80,-90,-58,-100,-100,-60,-100,-87,-100,-81,-100,1
-91,-78,-91,-61,-100,-100,-62,-100,-88,-100,-100,-100,1
-88,-77,-80,-57,-100,-100,-63,-100,-100,-100,-100,-100,1
-91,-77,-88,-57,-100,-100,-64,-100,-88,-96,-100,-100,1
-92,-78,-90,-56,-100,-100,-66,-100,-91,-100,-91,-100,1
-100,-81,-90,-64,-100,-100,-63,-100,-91,-100,-100,-100,1
-100,-78,-91,-59,-100,-100,-62,-100,-95,-100,-100,-100,1
-100,-75,-100,-54,-100,-100,-62,-86,-90,-91,-100,-100,1
-100,-79,-100,-59,-100,-100,-61,-83,-87,-100,-100,-100,1
-88,-76,-87,-59,-100,-100,-60,-100,-88,-100,-81,-100,1
-100,-83,-100,-57,-100,-100,-62,-100,-90,-100,-100,-100,1
-100,-79,-100,-57,-100,-100,-60,-100,-89,-100,-90,-100,1
-100,-80,-100,-59,-100,-100,-61,-100,-87,-100,-80,-100,1
-100,-73,-100,-57,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-83,-100,-57,-100,-100,-64,-100,-100,-100,-100,-100,1
-100,-82,-100,-56,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-75,-100,-57,-100,-100,-61,-87,-100,-100,-100,-100,1
-100,-83,-95,-58,-100,-100,-64,-100,-100,-100,-100,-100,1
-100,-78,-100,-58,-100,-100,-63,-100,-100,-100,-100,-100,1
-100,-78,-100,-58,-100,-100,-63,-100,-92,-100,-93,-100,1
-100,-100,-100,-67,-100,-100,-63,-84,-100,-100,-100,-100,1
-82,-84,-84,-58,-100,-100,-62,-100,-89,-100,-100,-100,1
-100,-82,-91,-58,-100,-100,-63,-100,-93,-100,-100,-100,1
-100,-81,-89,-58,-100,-100,-60,-100,-91,-100,-87,-100,1
-100,-81,-100,-56,-100,-100,-62,-100,-90,-100,-83,-100,1
-100,-75,-90,-58,-100,-100,-63,-90,-94,-100,-100,-100,1
-89,-81,-100,-56,-100,-100,-62,-85,-100,-100,-100,-100,1
-100,-82,-100,-57,-100,-100,-63,-100,-100,-100,-100,-100,1
-92,-79,-100,-57,-100,-100,-63,-100,-89,-100,-90,-100,1
-91,-76,-100,-58,-100,-100,-64,-100,-88,-100,-80,-100,1
-100,-77,-100,-59,-100,-100,-62,-100,-100,-100,-100,-100,1
-88,-82,-100,-59,-100,-100,-62,-100,-87,-100,-100,-100,1
-100,-81,-88,-57,-100,-100,-62,-100,-86,-100,-88,-100,1
-92,-81,-93,-61,-100,-100,-63,-100,-91,-100,-92,-100,1
-100,-78,-92,-57,-100,-100,-65,-100,-89,-100,-100,-100,1
-100,-76,-100,-56,-100,-100,-62,-87,-92,-100,-100,-100,1
-100,-80,-100,-57,-100,-100,-61,-100,-93,-100,-100,-100,1
-100,-81,-88,-55,-100,-100,-63,-85,-89,-100,-89,-100,1
-91,-80,-91,-57,-100,-100,-68,-100,-95,-100,-91,-100,1
-100,-87,-100,-56,-100,-100,-64,-100,-100,-100,-100,-100,1
-100,-82,-100,-57,-100,-100,-62,-100,-100,-100,-100,-100,1
-100,-84,-100,-58,-59,-100,-63,-100,-100,-100,-100,-100,1
-100,-75,-100,-56,-57,-100,-62,-100,-100,-100,-100,-100,1
-83,-83,-88,-59,-57,-100,-62,-100,-90,-100,-88,-100,1
-100,-78,-91,-60,-57,-100,-63,-100,-100,-100,-100,-100,1
-100,-80,-100,-58,-55,-100,-63,-100,-100,-100,-100,-100,1
-100,-77,-100,-61,-58,-100,-62,-100,-92,-100,-100,-100,1
-100,-81,-100,-57,-57,-100,-63,-100,-100,-100,-100,-100,1
-93,-84,-94,-61,-54,-100,-64,-100,-90,-100,-100,-100,1
