,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
0,-94,-78,-89,-54,-63,-100,-59,-87,-90,-92,-92,-100
1,-94,-72,-89,-55,-64,-100,-60,-87,-92,-92,-92,-100
2,-94,-71,-89,-57,-65,-100,-59,-87,-92,-92,-92,-100
3,-94,-70,-89,-57,-63,-100,-61,-87,-92,-92,-92,-100
4,-94,-70,-89,-52,-62,-100,-59,-87,-92,-92,-92,-100
5,-94,-71,-89,-52,-63,-100,-58,-88,-89,-92,-92,-100
6,-94,-69,-84,-53,-63,-100,-57,-86,-92,-92,-92,-100
7,-94,-73,-89,-54,-63,-100,-100,-87,-92,-92,-92,-100
8,-94,-71,-89,-52,-63,-100,-59,-85,-91,-92,-80,-100
9,-94,-71,-89,-52,-63,-100,-58,-87,-89,-92,-92,-100
10,-94,-73,-89,-53,-64,-100,-58,-87,-92,-92,-92,-100
11,-94,-71,-89,-55,-62,-100,-60,-87,-92,-92,-92,-100
12,-94,-71,-89,-54,-64,-100,-60,-87,-92,-92,-92,-100
13,-94,-70,-89,-55,-65,-100,-60,-90,-92,-92,-92,-100
14,-94,-71,-89,-52,-62,-100,-60,-88,-92,-92,-92,-100
15,-94,-71,-89,-56,-64,-100,-60,-89,-92,-92,-92,-100
16,-94,-71,-89,-52,-64,-100,-59,-87,-92,-92,-92,-100
17,-94,-71,-89,-53,-64,-100,-59,-87,-91,-92,-92,-100
18,-94,-71,-89,-54,-65,-100,-60,-87,-93,-94,-92,-100
19,-94,-72,-89,-53,-64,-100,-61,-87,-92,-92,-92,-100
20,-94,-73,-89,-52,-64,-100,-61,-90,-92,-92,-92,-100
21,-94,-71,-89,-53,-63,-100,-61,-88,-94,-92,-92,-100
22,-94,-71,-89,-54,-64,-100,-60,-89,-93,-92,-92,-100
23,-94,-70,-89,-53,-60,-100,-59,-87,-88,-92,-92,-100
24,-94,-70,-89,-52,-64,-100,-58,-87,-92,-92,-92,-100
25,-94,-70,-89,-51,-68,-100,-62,-87,-92,-92,-92,-100
26,-94,-70,-92,-54,-59,-100,-58,-87,-92,-92,-92,-100
27,-94,-68,-87,-51,-65,-100,-57,-87,-89,-85,-92,-100
28,-94,-72,-89,-51,-65,-100,-59,-87,-94,-92,-93,-100
29,-94,-71,-89,-52,-65,-100,-59,-87,-92,-92,-92,-100
30,-94,-72,-89,-55,-65,-100,-59,-89,-90,-92,-92,-100
31,-94,-70,-89,-52,-65,-100,-57,-87,-92,-92,-92,-100
32,-94,-73,-89,-52,-65,-100,-61,-88,-93,-92,-92,-100
33,-94,-72,-89,-57,-65,-100,-62,-88,-92,-92,-92,-100
34,-94,-72,-89,-53,-65,-100,-59,-87,-92,-92,-92,-100
35,-94,-70,-89,-54,-65,-100,-58,-84,-90,-93,-92,-100
36,-94,-69,-89,-53,-65,-100,-59,-87,-89,-92,-90,-100
37,-94,-72,-89,-56,-65,-100,-60,-87,-92,-92,-92,-100
38,-94,-72,-89,-54,-65,-100,-62,-87,-92,-92,-92,-100
39,-94,-72,-89,-52,-65,-100,-59,-87,-92,-92,-92,-100
40,-94,-85,-89,-51,-65,-100,-58,-85,-88,-92,-92,-100
41,-94,-69,-89,-51,-65,-100,-57,-85,-89,-92,-92,-100
42,-94,-70,-89,-51,-65,-100,-57,-86,-92,-92,-92,-100
43,-94,-70,-89,-54,-65,-100,-58,-87,-92,-92,-92,-100
44,-94,-72,-89,-54,-65,-100,-60,-87,-92,-92,-92,-100
45,-94,-72,-89,-55,-65,-100,-62,-87,-92,-92,-92,-100
46,-94,-70,-89,-52,-65,-100,-58,-87,-92,-92,-92,-100
47,-94,-71,-95,-54,-65,-100,-58,-87,-92,-92,-92,-100
48,-94,-71,-89,-54,-65,-100,-59,-88,-92,-92,-92,-100
49,-94,-71,-89,-54,-65,-100,-59,-85,-92,-92,-92,-100
50,-94,-74,-89,-58,-65,-100,-59,-87,-92,-92,-92,-100
51,-94,-72,-89,-55,-65,-100,-59,-85,-92,-92,-92,-100
52,-94,-73,-89,-54,-65,-100,-60,-87,-92,-92,-92,-100
53,-94,-70,-89,-54,-65,-100,-62,-89,-92,-92,-92,-100
54,-94,-73,-89,-56,-65,-100,-58,-87,-92,-92,-92,-100
55,-94,-72,-89,-54,-65,-100,-60,-91,-92,-92,-91,-100
56,-94,-71,-89,-52,-65,-100,-60,-91,-92,-92,-92,-100
57,-94,-72,-89,-56,-65,-100,-60,-87,-91,-92,-92,-100
58,-94,-73,-89,-53,-65,-100,-58,-84,-94,-92,-92,-100
59,-94,-70,-89,-51,-65,-100,-58,-87,-95,-92,-92,-100
60,-94,-72,-89,-52,-65,-100,-57,-86,-92,-92,-90,-100
61,-94,-74,-89,-52,-65,-100,-57,-87,-92,-92,-92,-100
62,-94,-73,-89,-53,-65,-100,-57,-85,-92,-92,-92,-100
63,-94,-70,-89,-53,-65,-100,-58,-87,-92,-91,-92,-100
64,-94,-69,-89,-52,-65,-100,-58,-87,-91,-93,-92,-100
65,-94,-73,-89,-54,-65,-100,-59,-87,-92,-92,-92,-100
66,-94,-72,-89,-54,-65,-100,-59,-88,-94,-92,-92,-100
67,-89,-73,-89,-52,-65,-100,-57,-87,-90,-92,-92,-100
68,-94,-69,-89,-51,-65,-100,-60,-88,-93,-91,-92,-100
69,-89,-70,-89,-52,-65,-100,-59,-87,-86,-92,-92,-100
70,-94,-74,-89,-52,-65,-100,-60,-86,-88,-92,-92,-100
71,-94,-70,-89,-51,-65,-100,-61,-87,-91,-92,-92,-100
72,-94,-73,-89,-55,-65,-100,-57,-85,-89,-92,-92,-100
73,-94,-70,-89,-52,-65,-100,-58,-87,-92,-94,-92,-100
74,-94,-72,-89,-52,-65,-100,-58,-89,-96,-92,-92,-100
75,-94,-72,-89,-56,-65,-100,-58,-87,-92,-92,-92,-100
76,-94,-72,-89,-54,-65,-100,-62,-88,-92,-92,-92,-100
77,-94,-73,-89,-54,-65,-100,-61,-89,-92,-92,-92,-100
78,-94,-72,-89,-54,-65,-100,-60,-87,-92,-92,-92,-100
79,-94,-71,-89,-54,-65,-100,-60,-90,-92,-92,-92,-100
80,-94,-72,-89,-52,-65,-100,-59,-87,-92,-92,-92,-100
81,-94,-72,-89,-53,-65,-100,-58,-89,-92,-92,-92,-100
82,-94,-70,-89,-51,-65,-100,-58,-87,-92,-92,-92,-100
83,-94,-70,-89,-52,-65,-100,-60,-88,-92,-92,-92,-100
84,-94,-71,-89,-55,-65,-100,-63,-87,-92,-92,-92,-100
85,-94,-73,-89,-53,-65,-100,-59,-84,-92,-92,-92,-100
86,-94,-72,-89,-52,-65,-100,-58,-87,-92,-92,-92,-100
87,-94,-70,-89,-53,-65,-100,-60,-87,-92,-92,-92,-100
88,-94,-72,-89,-52,-65,-100,-61,-87,-92,-92,-92,-100
89,-94,-70,-89,-50,-65,-100,-57,-87,-90,-92,-92,-100
90,-94,-72,-89,-55,-65,-100,-57,-86,-89,-92,-92,-100
91,-94,-82,-89,-54,-65,-100,-59,-87,-92,-92,-92,-100
92,-94,-69,-89,-50,-65,-100,-58,-87,-92,-92,-92,-100
93,-94,-73,-89,-55,-65,-100,-59,-87,-92,-92,-92,-100
94,-94,-69,-89,-51,-65,-100,-58,-85,-90,-92,-92,-100
95,-94,-70,-89,-55,-65,-100,-59,-87,-92,-92,-92,-100
96,-94,-69,-89,-53,-65,-100,-100,-87,-92,-92,-92,-100
97,-90,-71,-89,-54,-65,-100,-58,-87,-89,-92,-92,-100
98,-94,-69,-89,-53,-65,-100,-60,-86,-92,-92,-91,-100
99,-81,-72,-89,-53,-65,-100,-58,-87,-89,-87,-92,-100
100,-94,-70,-89,-53,-65,-100,-60,-87,-92,-92,-92,-100
101,-94,-70,-89,-53,-65,-100,-61,-88,-92,-92,-92,-100
102,-94,-73,-89,-53,-65,-100,-61,-87,-92,-92,-92,-100
103,-90,-70,-89,-55,-65,-100,-59,-87,-91,-92,-90,-100
104,-94,-71,-93,-53,-65,-100,-62,-87,-92,-92,-92,-100
105,-94,-72,-88,-54,-65,-100,-59,-85,-90,-92,-92,-100
106,-94,-70,-89,-53,-65,-100,-58,-87,-90,-92,-86,-100
107,-94,-70,-89,-54,-65,-100,-60,-87,-92,-92,-92,-100
108,-94,-71,-89,-52,-65,-100,-59,-89,-92,-92,-92,-100
109,-94,-71,-89,-53,-65,-100,-59,-88,-92,-92,-92,-100
110,-94,-100,-89,-53,-65,-100,-60,-87,-89,-87,-92,-100
111,-94,-70,-89,-55,-65,-100,-58,-86,-91,-92,-92,-100
112,-94,-70,-89,-53,-65,-100,-58,-87,-92,-92,-92,-100
113,-94,-70,-89,-55,-65,-100,-58,-90,-92,-92,-92,-100
114,-94,-73,-89,-56,-65,-100,-62,-87,-92,-92,-92,-100
115,-94,-70,-89,-52,-65,-100,-59,-87,-92,-92,-92,-100
116,-94,-73,-89,-53,-65,-100,-58,-83,-89,-90,-92,-100
117,-94,-71,-89,-52,-65,-100,-58,-88,-95,-92,-92,-100
118,-94,-70,-92,-52,-65,-100,-58,-86,-92,-92,-94,-100
119,-94,-70,-89,-52,-65,-100,-58,-88,-89,-92,-92,-100
120,-94,-74,-89,-52,-65,-100,-57,-87,-90,-92,-92,-100
121,-94,-72,-89,-54,-65,-100,-60,-89,-92,-92,-92,-100
122,-94,-69,-89,-53,-65,-100,-58,-90,-92,-92,-92,-100
123,-91,-75,-89,-53,-65,-100,-60,-87,-86,-92,-92,-100
124,-94,-72,-89,-53,-65,-100,-60,-87,-92,-93,-92,-100
125,-94,-74,-89,-52,-65,-100,-58,-89,-91,-92,-92,-100
126,-94,-72,-89,-55,-65,-100,-57,-88,-92,-92,-92,-100
127,-94,-71,-89,-55,-65,-100,-60,-87,-92,-92,-92,-100
128,-94,-72,-89,-55,-65,-100,-57,-87,-92,-92,-92,-100
129,-94,-72,-89,-53,-65,-100,-59,-87,-92,-92,-92,-100
130,-90,-71,-89,-53,-65,-100,-58,-87,-90,-92,-92,-100
131,-94,-72,-89,-54,-65,-100,-100,-87,-90,-92,-92,-100
132,-94,-69,-89,-53,-65,-100,-58,-90,-94,-92,-92,-100
133,-94,-72,-89,-56,-65,-100,-59,-87,-92,-92,-92,-100
134,-94,-70,-88,-53,-65,-100,-58,-84,-92,-93,-92,-100
135,-94,-71,-89,-54,-65,-100,-58,-91,-89,-93,-92,-100
136,-94,-71,-89,-54,-65,-100,-58,-87,-94,-94,-92,-100
137,-94,-73,-89,-52,-65,-100,-58,-87,-88,-92,-92,-100
138,-94,-71,-89,-53,-65,-100,-58,-85,-92,-92,-92,-100
139,-94,-71,-89,-55,-65,-100,-59,-87,-90,-92,-92,-100
140,-94,-70,-89,-52,-65,-100,-59,-87,-92,-92,-92,-100
141,-94,-71,-90,-54,-65,-100,-59,-91,-92,-92,-90,-100
142,-94,-100,-92,-54,-65,-100,-59,-88,-92,-92,-97,-100
143,-94,-71,-89,-53,-65,-100,-59,-89,-92,-92,-92,-100
144,-94,-70,-89,-53,-65,-100,-59,-89,-92,-92,-92,-100
145,-94,-71,-89,-54,-65,-100,-60,-87,-89,-91,-92,-100
146,-94,-71,-89,-54,-65,-100,-59,-87,-92,-92,-91,-100
