,Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6
81,-91,-77,-90,-54,-62,-100,-61,-86,-91,-91,-89,-100
82,-91,-78,-90,-55,-62,-100,-62,-86,-91,-91,-89,-100
83,-91,-77,-90,-58,-62,-100,-62,-86,-91,-94,-89,-100
84,-91,-80,-91,-57,-62,-100,-60,-86,-91,-91,-91,-100
85,-91,-83,-90,-57,-62,-100,-61,-86,-90,-91,-89,-100
86,-91,-81,-90,-57,-62,-100,-63,-84,-88,-91,-89,-100
87,-91,-79,-90,-56,-62,-100,-62,-88,-90,-91,-89,-100
88,-91,-80,-90,-57,-62,-100,-62,-86,-91,-91,-89,-100
89,-91,-100,-90,-58,-62,-100,-62,-88,-89,-91,-89,-100
90,-91,-77,-92,-58,-62,-100,-62,-86,-94,-91,-89,-100
91,-91,-84,-91,-57,-62,-100,-61,-86,-91,-91,-90,-100
92,-91,-77,-90,-61,-62,-100,-61,-85,-91,-91,-91,-100
93,-91,-78,-90,-59,-62,-100,-62,-86,-91,-91,-89,-100
94,-91,-78,-93,-57,-62,-100,-62,-86,-91,-91,-94,-100
95,-91,-82,-90,-56,-62,-100,-61,-86,-87,-91,-89,-100
96,-91,-71,-90,-57,-62,-100,-62,-86,-91,-92,-89,-100
97,-91,-78,-90,-58,-62,-100,-61,-86,-91,-91,-89,-100
98,-91,-78,-90,-58,-62,-100,-65,-86,-89,-91,-89,-100
99,-91,-77,-90,-58,-62,-100,-63,-86,-91,-91,-89,-100
100,-90,-77,-89,-58,-62,-100,-60,-86,-91,-91,-91,-100
101,-91,-76,-90,-57,-62,-100,-62,-86,-91,-91,-91,-100
102,-91,-79,-90,-60,-62,-100,-68,-86,-92,-91,-93,-100
103,-91,-77,-90,-60,-62,-100,-62,-86,-90,-91,-89,-100
104,-92,-85,-90,-62,-62,-100,-62,-86,-91,-91,-89,-100
105,-88,-80,-90,-58,-62,-100,-60,-86,-87,-91,-81,-100
106,-91,-78,-91,-61,-62,-100,-62,-86,-88,-91,-89,-100
107,-88,-77,-80,-57,-62,-100,-63,-86,-91,-91,-89,-100
108,-91,-77,-88,-57,-62,-100,-64,-86,-88,-96,-89,-100
109,-92,-78,-90,-56,-62,-100,-66,-86,-91,-91,-91,-100
110,-91,-81,-90,-64,-62,-100,-63,-86,-91,-91,-89,-100
111,-91,-78,-91,-59,-62,-100,-62,-86,-95,-91,-89,-100
112,-91,-75,-90,-54,-62,-100,-62,-86,-90,-91,-89,-100
113,-91,-79,-90,-59,-62,-100,-61,-83,-87,-91,-89,-100
114,-88,-76,-87,-59,-62,-100,-60,-86,-88,-91,-81,-100
115,-91,-83,-90,-57,-62,-100,-62,-86,-90,-91,-89,-100
116,-91,-79,-90,-57,-62,-100,-60,-86,-89,-91,-90,-100
117,-91,-80,-90,-59,-62,-100,-61,-86,-87,-91,-80,-100
118,-91,-73,-90,-57,-62,-100,-62,-86,-91,-91,-89,-100
119,-91,-83,-90,-57,-62,-100,-64,-86,-91,-91,-89,-100
120,-91,-82,-90,-56,-62,-100,-62,-86,-91,-91,-89,-100
121,-91,-75,-90,-57,-62,-100,-61,-87,-91,-91,-89,-100
122,-91,-83,-95,-58,-62,-100,-64,-86,-91,-91,-89,-100
123,-91,-78,-90,-58,-62,-100,-63,-86,-91,-91,-89,-100
124,-91,-78,-90,-58,-62,-100,-63,-86,-92,-91,-93,-100
125,-91,-100,-90,-67,-62,-100,-63,-84,-91,-91,-89,-100
126,-82,-84,-84,-58,-62,-100,-62,-86,-89,-91,-89,-100
127,-91,-82,-91,-58,-62,-100,-63,-86,-93,-91,-89,-100
128,-91,-81,-89,-58,-62,-100,-60,-86,-91,-91,-87,-100
