Becon_Wireless11,Chamidi1,FGS_Office11,IsuruAp6,NipunaM6,Pied Piper8,Sandali11,UNIC-wifi11,UoM_Wireless11,eduroam1,eduroam11,eduroam6,id
-100,-76,-100,-57,-58,-100,-61,-100,-88,-95,-100,-100,0
-96,-74,-100,-55,-60,-100,-64,-100,-100,-95,-100,-100,0
-100,-73,-100,-58,-64,-100,-61,-88,-100,-100,-100,-100,0
-100,-75,-92,-63,-64,-100,-63,-100,-100,-92,-100,-100,0
-100,-77,-100,-56,-65,-100,-61,-100,-100,-93,-100,-100,0
-100,-84,-100,-55,-65,-100,-62,-100,-100,-100,-100,-100,0
-100,-77,-100,-55,-62,-100,-63,-86,-92,-100,-100,-100,0
-100,-76,-100,-57,-63,-100,-61,-100,-92,-100,-100,-100,0
-94,-76,-100,-55,-63,-100,-62,-88,-90,-100,-100,-100,0
-100,-74,-100,-54,-64,-100,-60,-100,-90,-100,-100,-100,0
-100,-74,-94,-55,-63,-100,-62,-84,-91,-100,-100,-100,0
-88,-75,-89,-56,-62,-100,-61,-100,-87,-100,-86,-100,0
-100,-75,-100,-57,-61,-100,-61,-86,-91,-100,-100,-100,0
-100,-76,-100,-58,-65,-100,-62,-100,-100,-100,-100,-100,0
-92,-77,-90,-58,-64,-100,-63,-100,-100,-93,-100,-100,0
-100,-85,-100,-56,-64,-100,-63,-86,-100,-100,-100,-100,0
-100,-84,-100,-54,-63,-100,-64,-100,-100,-89,-100,-100,0
-87,-75,-100,-52,-64,-100,-62,-100,-100,-91,-100,-100,0
-100,-74,-100,-56,-63,-100,-61,-100,-87,-100,-100,-100,0
-100,-76,-100,-56,-63,-100,-61,-100,-100,-100,-100,-100,0
-90,-75,-89,-54,-63,-100,-62,-84,-100,-92,-87,-100,0
-100,-74,-100,-55,-63,-100,-61,-87,-93,-100,-100,-100,0
-100,-100,-100,-56,-63,-100,-62,-86,-100,-100,-91,-100,0
-100,-75,-100,-56,-62,-100,-62,-83,-90,-100,-100,-100,0
-100,-76,-100,-56,-64,-100,-62,-87,-93,-100,-100,-100,0
-100,-76,-100,-55,-64,-100,-62,-100,-100,-100,-100,-100,0
-100,-76,-100,-56,-64,-100,-61,-88,-100,-100,-100,-100,0
-100,-76,-100,-55,-64,-100,-62,-88,-100,-100,-100,-100,0
-90,-76,-100,-56,-65,-100,-62,-100,-91,-90,-100,-100,0
-100,-75,-100,-56,-63,-100,-62,-100,-88,-100,-100,-100,0
-100,-75,-100,-56,-64,-100,-62,-100,-89,-84,-82,-100,0
-100,-75,-100,-57,-63,-100,-61,-100,-100,-86,-100,-100,0
-100,-75,-100,-56,-65,-100,-63,-100,-100,-100,-100,-100,0
-100,-78,-100,-55,-62,-100,-62,-86,-93,-100,-100,-100,0
-100,-76,-86,-54,-63,-100,-61,-84,-100,-100,-100,-100,0
-100,-74,-100,-59,-65,-100,-64,-100,-100,-100,-100,-100,0
-100,-77,-100,-56,-64,-100,-63,-90,-91,-100,-100,-100,0
-100,-76,-85,-57,-63,-100,-63,-89,-90,-100,-94,-100,0
-100,-75,-100,-56,-64,-100,-62,-100,-100,-92,-100,-100,0
-100,-75,-100,-55,-64,-100,-63,-100,-100,-100,-100,-100,0
-100,-75,-100,-56,-65,-100,-62,-100,-94,-86,-100,-100,0
-100,-76,-100,-58,-64,-100,-65,-100,-100,-93,-100,-100,0
-100,-76,-100,-56,-64,-100,-62,-100,-100,-85,-100,-100,0
-100,-82,-100,-56,-63,-100,-62,-100,-100,-100,-100,-100,0
-100,-76,-88,-55,-64,-100,-62,-100,-88,-93,-100,-100,0
-100,-75,-100,-53,-64,-100,-61,-100,-100,-85,-100,-100,0
-100,-76,-93,-56,-65,-100,-62,-100,-92,-88,-100,-100,0
-100,-76,-100,-55,-64,-100,-62,-100,-100,-100,-100,-100,0
-100,-75,-100,-56,-63,-100,-62,-100,-93,-95,-100,-100,0
-90,-76,-100,-57,-63,-100,-61,-100,-92,-92,-92,-100,0
-100,-75,-100,-56,-64,-100,-62,-89,-92,-100,-100,-100,0
-100,-75,-100,-56,-63,-100,-62,-89,-100,-100,-100,-100,0
-100,-83,-100,-56,-65,-100,-62,-100,-86,-85,-100,-100,0
-100,-75,-100,-55,-65,-100,-64,-100,-100,-100,-100,-100,0
-92,-100,-93,-55,-64,-100,-62,-83,-91,-100,-100,-100,0
-100,-75,-100,-56,-64,-100,-62,-88,-100,-100,-100,-100,0
-88,-74,-100,-55,-64,-100,-62,-100,-100,-100,-88,-100,0
-100,-75,-100,-56,-64,-100,-60,-100,-100,-100,-100,-100,0
-100,-74,-100,-55,-62,-100,-61,-89,-100,-100,-100,-100,0
-100,-77,-100,-55,-63,-100,-61,-86,-100,-100,-100,-100,0
-100,-76,-100,-56,-62,-100,-61,-100,-100,-100,-88,-100,0
-100,-84,-100,-55,-64,-100,-62,-100,-100,-93,-100,-100,0
-100,-77,-100,-57,-65,-100,-62,-100,-100,-100,-100,-100,0
